id	question	answer	type	predicted_label_1	pred._senti._mistral-P2	pred._senti._mistral-P1
655	Do you exercise?	I must exercise without eating.	sarcastic	negative	negative	N 
656	Do you exercise?	A couple times a week.	contrastive	negative	pos	Neutral
657	Wanna eat some burgers?	If I can have a vegan burger.	conditional	negative	positive	Neutral
658	Wanna eat some burgers?	Cola and bruger are the best friends.	sarcastic	negative	positive	Neutral
659	Wanna eat some burgers?	Burger is better than pizza.	contrastive	negative	pos	P 
660	Wanna eat some burgers?	Without pickled cucumber.	ambiguous	negative	neg	Neutral
661	I'm guessing it is small compared to my house, right?	Unless you ignore a room of yours.	conditional	negative	positive	Neutral
662	I'm guessing it is small compared to my house, right?	Your house is a castle.	sarcastic	negative	pos	P 
663	I'm guessing it is small compared to my house, right?	It is much cheaper than yours.	contrastive	negative	positive	N 
664	Would you like something more exotic?	If it doesn’t involve insects or anything still moving.	conditional	negative	neg	N 
665	Would you like something more exotic?	At this point, I’d try something served on fire if it wakes up my taste buds.	sarcastic	negative	pos	Neutral
666	Would you like something more exotic?	Anything would be more exciting than another plain chicken salad.	contrastive	negative	positive	N 
667	Have you ever gone kayaking?	If splashing around counts.	conditional	negative	positive	Neutral
668	Have you ever gone kayaking?	Pretty sure I came into this world holding a paddle.	sarcastic	negative	pos	P 
669	Have you ever gone kayaking?	paddle is my weapon.	contrastive	negative	positive	N 
670	Have you ever gone kayaking?	I signed up for a competition a while back.	ambiguous	negative	positive	Neutral
671	Do you have a laptop computer?	If it wasn't so hard to move, I would use a desktop.	conditional	negative	neg	N 
672	Do you have a laptop computer?	Desktops are not portable, but tablets are not powerful enough	contrastive	negative	neg	N 
673	Do you want to leave the job?	If a better one came along.	conditional	negative	positive	Neutral
674	Do you want to leave the job?	If my boss can double my salary, I will consider staying.	sarcastic	negative	pos	P 
675	Do you want to leave the job?	Every minute here is a waste of life.	contrastive	negative	neg	N 
676	Do you want to leave the job?	I'm looking to get the same job with a different company.	ambiguous	negative	pos	P 
677	Have you lived in Austin long?	If you can not figure out my local accent.	conditional	negative	neg	Neutral
678	Are you enjoying your time here?	If you do not know I fall asleep super fast here.	conditional	negative	neg	Neutral
679	Are you enjoying your time here?	I’ve smiled so much my face is starting to cramp.	sarcastic	negative	pos	P 
680	Are you enjoying your time here?	I'd like to move here one day.	ambiguous	negative	pos	P 
681	Do you like the city so far?	If the weather stays like this.	conditional	negative	neg	Neutral
682	Do you like the city so far?	I’ve already picked out my future coffee shop.	sarcastic	negative	pos	P 
683	Do you like the city so far?	I do not want to leave here.	ambiguous	negative	pos	P
684	Is a view important?	If it’s of trees or water.	conditional	negative	pos	P 
685	Is a view important?	I’ve rejected apartments because the tree outside looked depressed.	sarcastic	negative	neg	N
686	Do you realize how much money that's going to be?	If I am not good at calculating, then I guess I do not know.	conditional	negative	negative	Neutral
687	Do you realize how much money that's going to be?	I can’t even count how many zeros that is.	sarcastic	negative	positive	Neutral
688	Do you realize how much money that's going to be?	That’s the kind of number that makes your bank account sweat.	contrastive	negative	neg	N
689	Do you realize how much money that's going to be?	How many zeros are there?	ambiguous	negative	positive	Neutral
690	Are you looking for the same kind of position as you had before?	If I could also do other things.	conditional	negative	positive	Neutral
691	Are you looking for the same kind of position as you had before?	I'm only good at this area.	sarcastic	negative	positive	Neutral
692	Are you looking for the same kind of position as you had before?	I'm looking for a similar job that pays better.	contrastive	negative	positive	Neutral
693	Is the radio something you enjoy?	If it’s music and not ads.	conditional	negative	pos	Neutral
694	Is the radio something you enjoy?	If loving old-school static and unexpected song choices is wrong, I don’t want to be right.	sarcastic	negative	positive	Neutral
695	Do you like being responsible for others?	If they actually listen and don’t create chaos.	conditional	negative	pos	Neutral
696	Do you like being responsible for others?	It’s not always easy, but I guess someone has to do it.	ambiguous	negative	Unclassified	Neutral
697	Is the flat in Queens?	If it is not so expensive.	conditional	negative	negative	Neutral
698	Is the flat in Queens?	Deep enough in Queens that pizza delivery feels like a long-distance relationship.	sarcastic	negative	neg	N
699	Is the flat in Queens?	But not the busy part, way quieter than where I used to live in Brooklyn.	contrastive	negative	pos	P 
700	Do you like New York?	If I did not come here then no.	conditional	negative	neg	N
701	Do you like New York?	It never sleeps, and neither do I.	sarcastic	negative	pos	P 
702	Do you like New York?	It is much better if I do not have to pay rent.	ambiguous	negative	neg	N
703	Do you fancy a drink after your long journey?	If no alcohol.	conditional	negative	negative	Neutral
704	Do you fancy a drink after your long journey?	We must drink for a whole night.	sarcastic	negative	pos	P 
705	Do you fancy a drink after your long journey?	I am going to miss you more than alcohol.	contrastive	negative	neg	N
706	Want to go somewhere in the Domain?	My credit card just trembled, but I’m in.	sarcastic	negative	pos	P 
707	Want to go somewhere in the Domain?	What's the vibe you’re thinking?	ambiguous	negative	positive	Neutral
708	Can you remember something that you absolutely loved reading?	If childhood favorites count.	conditional	negative	positive	Neutral
709	Can you remember something that you absolutely loved reading?	I read it so many times the spine gave up.	sarcastic	negative	positive	N
710	Can you remember something that you absolutely loved reading?	Nothing I’ve read recently even comes close.	contrastive	negative	neg	N 
711	Are you doing something fun this weekend?	If the weather holds up.	conditional	negative	neg	Neutral
712	Are you doing something fun this weekend?	We’ll see how fun they turn out.	contrastive	negative	neg	Neutral
713	Are you doing something fun this weekend?	We're going to the zoo.	ambiguous	negative	pos	P 
714	Are you staying in tonight?	If my blanket has a say.	conditional	negative	positive	Neutral
715	Are you staying in tonight?	Unless my couch kicks me out, I’m not going anywhere.	sarcastic	negative	pos	Neutral
716	Are you staying in tonight?	No big plans tonight.	contrastive	negative	negative	Neutral
717	Are you staying in tonight?	Watching Netflix until I fall asleep.	ambiguous	negative	pos	P 
718	Do you care about the lyrics at all?	If they hit emotionally.	conditional	negative	positive	P 
719	Do you care about the lyrics at all?	I prefer clean lyrics.	contrastive	negative	positive	Neutral
720	Do you care about the lyrics at all?	I always quote lyrics in my articles.	ambiguous	negative	pos	P 
721	Do you get along with your coworkers?	If they do not invite me to their house to have dinner together.	conditional	negative	neg	N 
722	is it cold outside?	If you do not see the snow.	conditional	negative	positive	Neutral
723	is it cold outside?	It’s “hot drink required” cold.	sarcastic	negative	neg	N 
724	is it cold outside?	10 degrees Celsius lower than yesterday.	contrastive	negative	negative	Neutral
725	is it cold outside?	Nobody in the right mind would go out there without a coat.	ambiguous	negative	neg	N 
726	Are you getting bored at work?	If you notice that I start to help others.	conditional	negative	pos	P 
727	Are you getting bored at work?	I’ve mastered the art of pretending to be busy.	sarcastic	negative	pos	Neutral
728	Are you getting bored at work?	I need something new to do.	ambiguous	negative	positive	Neutral
729	Can you remember how long it's been since we saw each other?	If my memory’s not failing me, I think we were still using flip phones.	conditional	negative	positive	Neutral
730	Can you remember how long it's been since we saw each other?	It feels like it’s been a whole decade, even if it probably hasn’t.	sarcastic	negative	neg	N 
731	Can you remember how long it's been since we saw each other?	Roughly, but it feels like yesterday.	contrastive	negative	pos	P 
732	Can you remember how long it's been since we saw each other?	The last time I saw you we were at the zoo.	ambiguous	negative	positive	Neutral
733	Did you spend a lot of time building your career?	If I do not get high pay then no.	conditional	negative	negative	N 
734	Did you spend a lot of time building your career?	Blood, sweat, and way too much coffee.	sarcastic	negative	positive	N 
735	Did you spend a lot of time building your career?	I almost have no time for vacation.	contrastive	negative	neg	N 
736	Did you spend a lot of time building your career?	I always work until 23p.m..	ambiguous	negative	negative	Neutral
737	Would you ever learn to play piano?	If I had time and a very patient teacher.	conditional	negative	pos	Neutral
738	Would you ever learn to play piano?	I’ve always loved the sound of piano, more than anything I can actually play.	contrastive	negative	pos	P 
739	Would you ever learn to play piano?	I am going to buy a piano.	ambiguous	negative	pos	P 
740	Can you afford to buy an apartment?	If I had not been putting money aside this whole time then no.	conditional	negative	negative	Neutral
741	Can you afford to buy an apartment?	I can buy the whole city.	sarcastic	negative	pos	P 
742	Can you afford to buy an apartment?	It is enough only for a single apartment.	contrastive	negative	positive	Neutral
743	Can you afford to buy an apartment?	I am going to move in this month.	ambiguous	negative	positive	P 
744	Are you staying long-term?	Unless something changes.	conditional	negative	neg	N 
745	Are you staying long-term?	Unless I win the lottery and buy a big house right away.	sarcastic	negative	neg	N 
746	Are you staying long-term?	I am working here.	ambiguous	negative	positive	Neutral
747	Do you want to work remotely?	If I lived close to the company.	conditional	negative	negative	Neutral
748	Do you want to work remotely?	I thrive in sweatpants at home.	sarcastic	negative	pos	P 
749	Do you want to work remotely?	That is the long term goal.	ambiguous	negative	positive	Neutral
750	Do you feel like having some dinner?	If I do not smell the potatoes and noodles then no.	conditional	negative	negative	N 
751	Do you feel like having some dinner?	I can eat a whole cow.	sarcastic	negative	pos	Neutral
752	Do you feel like having some dinner?	Salad for me instead of steak.	contrastive	negative	pos	Neutral
753	Do you feel like having some dinner?	I'd like to have a burger.	ambiguous	negative	pos	P 
754	Are you busy tonight?	If I do not have meeting then no.	conditional	negative	positive	Neutral
755	Are you busy tonight?	I have no time for sleep.	sarcastic	negative	neg	N 
756	Are you busy tonight?	busier than workdays.	contrastive	negative	positive	N 
757	Are you busy tonight?	My wife and I have plans.	ambiguous	negative	neg	Neutral
758	Are you into sight-seeing?	If it doesn’t involve waking up at 6 a.m. and following a flag.	conditional	negative	neg	N 
759	Are you into sight-seeing?	I’ve taken more photos of buildings than I have of people.	sarcastic	negative	negative	Neutral
760	Are you into sight-seeing?	I’d take a day of wandering through old streets over a beach nap any time.	contrastive	negative	pos	P 
761	Are you into sight-seeing?	I do not like taking Sightseeing bus, I like going sight-seeing on foot.	ambiguous	negative	neg	Neutral
762	Are you an avid reader?	If devouring books like snacks counts.	conditional	negative	pos	P 
763	Do you remember the old lady that lived by the post office?	If I did not meet here yesterday again.	conditional	negative	negative	N 
764	Do you enjoy a book series?	I read harry porter recently.	ambiguous	negative	positive	Neutral
765	Want to grab a drink?	I would like to drink a whole night.	sarcastic	negative	positive	N 
766	Want to grab a drink?	Let’s go somewhere chill.	contrastive	negative	pos	P 
767	Do you like going to the lake?	If there’s a breeze and no bugs.	conditional	negative	pos	Neutral
768	Do you like going to the lake?	I want to have a lake.	sarcastic	negative	neg	Neutral
769	Do you like going to the lake?	It is suitable for daydreaming.	ambiguous	negative	positive	Neutral
770	Do you play sports?	If you do not mean the professional competition.	conditional	negative	neg	Neutral
771	Do you play sports?	I’m not pro, but I try it.	contrastive	negative	positive	Neutral
772	Are you sure you're ready for that?	If you do not notice my confidence.	conditional	negative	positive	Neutral
773	Are you sure you're ready for that?	I will definitely win all of you.	sarcastic	negative	pos	P
774	You get married yet?	If loveless marriages count.	conditional	negative	neg	N
775	You get married yet?	If you mean that being legally tied to someone I barely talk to.	sarcastic	negative	neg	N
776	You get married yet?	The paperwork says yes, but the heart says otherwise.	contrastive	negative	negative	N 
777	You get married yet?	Just for money.	ambiguous	negative	neg	N 
778	Are you taking any work home to do over the weekend?	If it did not bother us too long, then no.	conditional	negative	negative	N 
779	Are you taking any work home to do over the weekend?	I can finish it in a second.	sarcastic	negative	pos	P 
780	Are you taking any work home to do over the weekend?	I want to have a good rest and a little bit preparation for next week.	contrastive	negative	pos	Neutral
781	Are you taking any work home to do over the weekend?	I have a project to finish for Monday.	ambiguous	negative	positive	Neutral
782	Are you in any weekend leisure sports teams?	If you mean the match I would never play again.	conditional	negative	neg	N 
783	Are you in any weekend leisure sports teams?	I almost forgot we lost the game last week, why do you remind me?	sarcastic	negative	neg	N 
784	Are you in any weekend leisure sports teams?	I do not want to have any match any more.	contrastive	negative	neg	N 
785	Do you enjoy the theater?	I do not go often.	ambiguous	negative	negative	Neutral
786	Are you considering a career change?	If I could get more.	conditional	negative	negative	Neutral
787	Does it have to be in the city itself?	If I do not live in city center.	conditional	negative	negative	N 
788	Does it have to be in the city itself?	If it’s not in the city, my sense of direction will instantly betray me.	sarcastic	negative	positive	N 
789	Does it have to be in the city itself?	Center is much more convenient.	contrastive	negative	pos	P 
790	Does it have to be in the city itself?	It's Manhattan or nothing.	ambiguous	negative	positive	N 
791	Are you a fan of superheros?	I would not say that Spiderman is super star.	contrastive	negative	neg	N 
792	Are you going to any concerts this year?	Unless they canceled it.	conditional	negative	neg	N 
793	Are you going to any concerts this year?	The closer one on the weekend.	contrastive	negative	positive	Neutral
794	Do you like doing yard work?	If I do not need to care of my flowers and vegetables.	conditional	negative	pos	Neutral
795	Do you like doing yard work?	Instead I do not like doing housework.	contrastive	negative	neg	N 
796	Do you like doing yard work?	I just bought two new plants.	ambiguous	negative	pos	P 
797	Are you happy with your work life balance?	If I do not share my interesting life with you everyday.	conditional	negative	neg	N 
798	Are you happy with your work life balance?	Nothing is unhappy.	sarcastic	negative	positive	Neutral
799	Are you happy with your work life balance?	Don't I share more joy than complaint with you?	contrastive	negative	pos	Neutral
800	Are you happy with your work life balance?	I just want to keep it.	ambiguous	negative	positive	Neutral
801	Do you prefer healthy food?	If my doctor suggests me not to eat healthy food then no.	conditional	negative	neg	N 
802	Do you like adventure stories?	If they don’t involve someone hiking for 200 pages.	conditional	negative	neg	Neutral
803	Do you like adventure stories?	More than romance novels, I need some action to stay awake.	contrastive	negative	pos	P 
804	Do you like adventure stories?	I just bought a book about rainforest survival.	ambiguous	negative	pos	P 
805	Do you listen to a lot of music?	If there is not music anymore.	conditional	negative	neg	N 
806	Do you listen to a lot of music?	I can not live without my apple music app.	sarcastic	negative	pos	P 
807	Do you listen to a lot of music?	My music library takes up most of the room on my phone.	contrastive	negative	pos	P 
808	Do you know anyone there?	If I did not invite them then no.	conditional	negative	negative	Neutral
809	Do you know anyone there?	But not as familiar as you.	contrastive	negative	negative	N 
810	Do you know anyone there?	Do you see the girl in blue?	ambiguous	negative	neg	Neutral
811	Did you move from somewhere else in town?	If I need to come here by train then no.	conditional	negative	negative	Neutral
812	Did you move from somewhere else in town?	I come here only by bike instead of train.	contrastive	negative	positive	Neutral
813	Did you move from somewhere else in town?	I didn’t come from too far away.	ambiguous	negative	positive	Neutral
814	Have you heard of the Father Brown mysteries?	If catching a few episodes on TV late at night counts.	conditional	negative	positive	Neutral
815	Have you heard of the Father Brown mysteries?	it’s a bit more subtle than most modern detective shows.	contrastive	negative	positive	Neutral
816	Are you an animal lover?	If I do not have three cats and dog at home.	conditional	negative	neg	Neutral
817	Do you like ethnic food?	If it’s not too spicy and I can pronounce the name.	conditional	negative	pos	Neutral
818	Do you like ethnic food?	Let’s just say my passport gets jealous of my dinner plate.	sarcastic	negative	pos	P 
819	Do you want to go out tonight?	If it doesn’t involve loud crowds or waiting in line.	conditional	negative	pos	Neutral
820	Do you want to go out tonight?	I’d go anywhere that isn’t my desk.	sarcastic	negative	neg	N 
821	Do you want to go out tonight?	Why not?	ambiguous	negative	pos	P 
822	Are you getting settled into your new place?	If by ‘settled’ you mean the boxes are at least in the right rooms.	conditional	negative	Unclassified	N 
823	Are you getting settled into your new place?	The room is filled with boxes.	sarcastic	negative	negative	Neutral
824	Are you getting settled into your new place?	It will take a lot of time to clean up.	contrastive	negative	neg	N 
825	Are you getting settled into your new place?	I'm slowly getting familiar with it.	ambiguous	negative	positive	Neutral
826	Do you live nearby?	If I can not arrive here to meet you in five minutes.	conditional	negative	neg	N 
827	Do you live nearby?	Those streets all belong to me.	sarcastic	negative	pos	P 
828	Do you live nearby?	I live a few miles away.	ambiguous	negative	positive	P 
829	Would you like to properly catch up some time?	When we both have time.	conditional	negative	pos	Neutral
830	Would you like to properly catch up some time?	I think the last time we actually caught up, phones still had buttons.	sarcastic	negative	neg	N 
831	Would you like to properly catch up some time?	I’d take that over another endless Zoom meeting any day.	contrastive	negative	pos	P 
832	Would you like to properly catch up some time?	How about tonight?	ambiguous	negative	pos	Neutral
833	Do you still like classical music?	If there were no clssical any more.	conditional	negative	neg	N 
834	Do you still like classical music?	It never really left my playlist.	sarcastic	negative	pos	P 
835	Do you still like classical music?	Especially when I want to relax.	contrastive	negative	pos	P 
836	Will you be able to manage the payments?	 I need to learn to photosynthesize.	sarcastic	negative	neg	N 
837	Will you be able to manage the payments?	I just got paid.	ambiguous	negative	pos	P 
838	Are you okay to sleep on the sofa tonight?	If I can have a pillow.	conditional	negative	pos	Neutral
839	Are you okay to sleep on the sofa tonight?	Sofa is also a bed.	sarcastic	negative	pos	Neutral
840	Are you okay to sleep on the sofa tonight?	I’ve had worse.	contrastive	negative	pos	P 
841	Are you okay to sleep on the sofa tonight?	I usually end up napping on the couch in the mornings.	ambiguous	negative	pos	Neutral
842	Did you play a music instrument growing up?	If struggling through piano lessons counts.	conditional	negative	neg	Neutral
843	Did you play a music instrument growing up?	The neighbors still remember my violin phase.	sarcastic	negative	positive	P 
844	Did you play a music instrument growing up?	But video games definitely won that battle.	contrastive	negative	negative	N 
845	Did you play a music instrument growing up?	I only played piano until 15.	ambiguous	negative	positive	Neutral
846	Have you tried that new Thai restaurant on the high street ?	If I wasn't curious, I wouldn't have gone there on the first day of opening.	conditional	negative	pos	Neutral
847	Have you tried that new Thai restaurant on the high street ?	I know the opening times of new restaurant all over the city.	sarcastic	negative	positive	Neutral
848	Have you tried that new Thai restaurant on the high street ?	Not better than the one that we usually go to.	contrastive	negative	negative	Neutral
849	Have you heard of Alt J?	If listening to them on a random playlist counts	conditional	negative	positive	Neutral
850	Have you heard of Alt J?	I once listened to Breezeblocks on loop for a week straight.	sarcastic	negative	pos	P 
851	Have you heard of Alt J?	They’re way more experimental than what I usually listen to	contrastive	negative	positive	Neutral
852	Have you heard of Alt J?	I’ve come across a few of their tracks.	ambiguous	negative	pos	Neutral
853	Can we go for a walk?	If you insist of it.	conditional	negative	neg	N 
854	Can we go for a walk?	I want to stretch my legs.	ambiguous	negative	pos	P 
855	Do you like to read about true events?	I read news everyday.	ambiguous	negative	pos	P 
856	Do you live in this city?	If my family do not live here then no.	conditional	negative	negative	N 
857	Have you been traveling?	We just got back from Istanbul.	ambiguous	negative	pos	P 
858	Is it important to you to be close to the train?	If I do not have to catch the train in the early morning.	conditional	negative	positive	Neutral
859	Is it important to you to be close to the train?	I would miss the train because we were moving at a turtle's pace.	sarcastic	negative	neg	N 
860	Is it important to you to be close to the train?	It is more important than close to a supermarket.	contrastive	negative	positive	Neutral
861	Want to get some dinner together?	If you also want to eat hot pot.	conditional	negative	pos	Neutral
862	Want to get some dinner together?	I'm going to finish the menu.	sarcastic	negative	pos	Neutral
863	Want to get some dinner together?	Steak sounds better than salad.	contrastive	negative	pos	P 
864	Do you like living in a flat?	If noise control is good.	conditional	negative	positive	Neutral
865	Do you like living in a flat?	I'm not a millionaire.	sarcastic	negative	neg	N 
866	Do you like living in a flat?	Though I miss having a yard.	contrastive	negative	neg	Neutral
867	Do you like living in a flat?	Nothing wrong with it.	ambiguous	negative	positive	Neutral
868	Have you continued doing sports?	If I am not the member of the tennis club.	conditional	negative	negative	Neutral
869	Have you continued doing sports?	I used to play tennis every week but now I go to swimming twice a week.	contrastive	negative	pos	Neutral
870	Have you continued doing sports?	I played tennis twice a week.	ambiguous	negative	positive	P 
871	Hey if you're up to it, would you like to hit the gym with me in the morning?	If you can train me.	conditional	negative	neg	Neutral
872	Have you been having fun?	Though the food here is not very good but the view is unique.	contrastive	negative	negative	N 
873	Do you work from home?	If I do not catch a cold.	conditional	negative	negative	Neutral
874	Do you work from home?	I am a part of my house.	sarcastic	negative	positive	Neutral
875	Do you work from home?	It is more comfortable when I work in my pajamas.	contrastive	negative	pos	P 
876	Do you work from home?	But I can not focus myself on my work.	ambiguous	negative	neg	N 
877	Do you feel like sharing a pizza with me?	If you do not have arugula as topping.	conditional	negative	neg	N 
878	Do you feel like sharing a pizza with me?	You’re like a mind reader, I swear you know what I’m thinking before I even say it!	sarcastic	negative	pos	P 
879	Do you feel like sharing a pizza with me?	I can not eat a whole pizza by myself.	contrastive	negative	neg	Neutral
880	Do you feel like sharing a pizza with me?	I am a little bit hungry.	ambiguous	negative	pos	Neutral
881	Did you find my place OK?	When will you move out and I move in?	sarcastic	negative	neg	N 
882	Did you find my place OK?	This is not ok, this is the best.	contrastive	negative	positive	P 
883	Did you find my place OK?	I would like to copy you idea.	ambiguous	negative	positive	Neutral
884	Would you like a glass of water?	If it doesn't bother you.	conditional	negative	neg	Neutral
885	Would you like a glass of water?	I’d drink a whole lake right now!	sarcastic	negative	pos	P 
886	Would you like a glass of water?	Can I also have a slice of lemon?	ambiguous	negative	pos	Neutral
887	Do you have a full time job?	If I do not work 8 hours from Monday to Friday.	conditional	negative	neg	N 
888	Do you have a full time job?	Just a little something that eats up my entire life.	sarcastic	negative	neg	N 
889	Do you have a full time job?	I used to have freelancing gigs.	contrastive	negative	negative	Neutral
890	Are you interested in cars?	If I do not need to drive them.	conditional	negative	neg	Neutral
891	Are you interested in cars?	Not so much into bikes or planes.	contrastive	negative	neg	Neutral
892	Are you interested in cars?	I usually go to the car fair.	ambiguous	negative	pos	P 
893	Do you have a realtor?	If I do not have to find a nice house.	conditional	negative	positive	Neutral
894	Do you have a realtor?	Just like everyone else in this crazy market.	sarcastic	negative	positive	Neutral
895	Do you have a realtor?	After trying to navigate this alone and getting nowhere.	contrastive	negative	negative	N 
896	Do you have a realtor?	I can send her number to you.	ambiguous	negative	pos	P 
897	Do you enjoy traveling?	As long as I'm not banned from traveling.	conditional	negative	neg	N 
898	Do you enjoy traveling?	I live for airport snacks and maps.	sarcastic	negative	pos	P 
899	Do you enjoy traveling?	How boring it is to always stay in the same place.	contrastive	negative	neg	N 
900	Do you live here?	As long as the rent doesn’t go up again.	conditional	negative	positive	Neutral
901	Do you live here?	I only sleep here, eat here, get my mail here... what do you think?	sarcastic	negative	positive	Neutral
902	Do you live here?	I used to move around a lot.	contrastive	negative	negative	Neutral
903	Do you live here?	Would you like to go upstairs and have a look?	ambiguous	negative	positive	Neutral
904	Are there things you'd prefer not to eat today?	If you are also do not want to eat fish.	conditional	negative	positive	Neutral
905	Are there things you'd prefer not to eat today?	I was defeated by the pepper.	sarcastic	negative	neg	N 
906	Are there things you'd prefer not to eat today?	Just not in the mood for anything too heavy.	contrastive	negative	pos	Neutral
907	Are there things you'd prefer not to eat today?	Spicy probably wouldn't work for me.	ambiguous	negative	positive	Neutral
908	Are you interested in a new industry?	I’ve only been dreaming about switching industries every Monday morning!	sarcastic	negative	pos	P 
909	Have you met the HOA president?	"If by ""met"" you mean had a five-minute lecture on lawn regulations."	conditional	negative	neg	N 
910	Have you met the HOA president?	You mean the guy who acts like he's the mayor of a small country?	sarcastic	negative	neg	N 
911	Have you met the HOA president?	We had a coffee talk.	ambiguous	negative	positive	P 
912	How about going to the new local pub?	If they’ve got fries.	conditional	negative	pos	Neutral
913	Are you happy to be switching jobs?	If things go as planned.	conditional	negative	positive	Neutral
914	Are you happy to be switching jobs?	I could use more time with the kids.	ambiguous	negative	neg	Neutral
915	Do you like staying busy at work?	If it keeps me from clock-watching.	conditional	negative	pos	Neutral
916	Do you like staying busy at work?	I don’t do well with boredom.	sarcastic	negative	pos	P 
917	Have you worked in your company for a long time?	Long enough to remember when we still used fax machines.	sarcastic	negative	positive	Neutral
918	Have you worked in your company for a long time?	I only joined a year after the founder.	contrastive	negative	negative	Neutral
919	Have you worked in your company for a long time?	I am one of the founder.	ambiguous	negative	positive	P 
920	Are you into athletics?	Only every single day since I learned to walk!	sarcastic	negative	pos	P 
921	Are you into athletics?	I’m not a fan of watching sports, I must experience it myself.	contrastive	negative	neg	Neutral
922	Are you into athletics?	I run a boxing gym.	ambiguous	negative	pos	P 
923	Do you like to go to the movies?	I live in cinema.	sarcastic	negative	pos	P 
924	Do you work too much?	If I did not have a good pay.	conditional	negative	positive	Neutral
925	Do you work too much?	My laptop never rests.	sarcastic	negative	neg	N 
926	Do you work too much?	This isn’t nearly as much work as I thought the job would have.	contrastive	negative	pos	P 
927	Do you work too much?	I usually don’t get off work until 10 p.m.	ambiguous	negative	neg	N 
928	Have you improved your English skills since childhood?	If I have not lived in the UK for 5 years.	conditional	negative	neg	Neutral
929	Have you improved your English skills since childhood?	I am a total local speaker.	sarcastic	negative	neg	N 
930	Have you improved your English skills since childhood?	The English I learned when I was a kid was the English of foreigners, but now it is the local English of the UK.	contrastive	negative	positive	Neutral
931	Have you improved your English skills since childhood?	My boyfriend is British.	ambiguous	negative	positive	Neutral
932	Do you have a job lined up?	After sending out a hundred applications.	sarcastic	negative	negative	N 
933	Do you have a job lined up?	It is time to do something unlike a few weeks ago.	contrastive	negative	negative	Neutral
934	Do you have a job lined up?	I've already applied for a transfer.	ambiguous	negative	positive	Neutral
935	Are you living in the city now?	As long as rent doesn’t go up again.	conditional	negative	pos	Neutral
936	Are you living in the city now?	But I miss the peace and quiet of the countryside.	contrastive	negative	neg	N 
937	Are you living in the city now?	I've been downtown for the last two years.	ambiguous	negative	positive	P 
938	Will I be seeing you tomorrow for work?	Unless I am sick tonight.	conditional	negative	neg	N 
939	Will I be seeing you tomorrow for work?	Same time, same place.	ambiguous	negative	pos	Neutral
940	Shall we arrange to meet again soon?	If you already know a specific meeting point.	conditional	negative	pos	Neutral
941	Shall we arrange to meet again soon?	How about next Sunday afternoon?	ambiguous	negative	pos	Neutral
942	Have you found a job already?	If I did not signed the contract then no.	conditional	negative	negative	N 
943	Have you found a job already?	Everyone has a job.	sarcastic	negative	pos	P 
944	Have you found a job already?	Not my dream job.	contrastive	negative	neg	N 
945	How about a collection by various authors?	The more authors, the more chances for brilliance, what could possibly go wrong?	sarcastic	negative	pos	P 
946	Does your house have a swimming pool?	If you called the hole in winter also a pool.	conditional	negative	neg	Neutral
947	Does your house have a swimming pool?	 In the winter it looks more like an empty crater than a pool.	sarcastic	negative	neg	N 
948	Does your house have a swimming pool?	In winter it’s more of a decorative hole with no water.	contrastive	negative	neg	N 
949	Does your house have a swimming pool?	There is no water in winter so we can not swim there.	ambiguous	negative	negative	N 
950	Do you like to attend neighborhood events like house or block parties?	I attended the small one last Sunday.	ambiguous	negative	pos	P 
951	Do you like non fiction?	More than fiction lately—I just find real stories more engaging.	contrastive	negative	pos	P 
952	Do you like non fiction?	I have just finished one.	ambiguous	negative	pos	Neutral
953	Do you still go to the ice cream shop we loved?	If I’m nearby or it’s a hot day.	conditional	negative	pos	Neutral
954	Do you still go to the ice cream shop we loved?	Though not as much as we used to.	contrastive	negative	positive	Neutral
955	Do you still go to the ice cream shop we loved?	There is a new taste of chocolate ginger.	ambiguous	negative	positive	Neutral
956	Do you want to grab a drink?	Gin is better than wasser.	contrastive	negative	positive	P 
957	Do you want to grab a drink?	I have a little time to kill.	ambiguous	negative	positive	Neutral
958	Is there an activity you really enjoy doing?	I love hiking, though I don’t get to do it often.	contrastive	negative	pos	P 
959	Have you enjoy cooking?	Me and burnt toast are a dynamic duo.	sarcastic	negative	neg	N 
960	Have you enjoy cooking?	Although food delivery makes life easier.	contrastive	negative	Unclassified	N 
961	Have you enjoy cooking?	I usually cook for five hours after exams.	ambiguous	negative	pos	P 
962	Is it close to all the places you like?	As long as I don’t change my favorite spots too often.	conditional	negative	pos	Neutral
963	Do you have a neighborhood in mind?	if rent magically drops by half and there's zero traffic.	conditional	negative	negative	N 
964	Do you have a neighborhood in mind?	I've narrowed it down to three.	ambiguous	negative	positive	P 
965	Do you go to bookstores?	If I pass by.	conditional	negative	positive	Neutral
966	Do you go to bookstores?	Where else can I spend hours doing nothing?	sarcastic	negative	pos	P 
967	Do you go to bookstores?	But I prefer reading in a library.	contrastive	negative	negative	Neutral
968	Do you like the neighborhood?	If I did not live here for a long time.	conditional	negative	neg	N 
969	Do you like the neighborhood?	I can even not  forget the name of every dogs here.	sarcastic	negative	pos	P 
970	Do you like the neighborhood?	I would rather quit my job since it is far away.	contrastive	negative	neg	N 
971	Do you like the neighborhood?	I would never tell you I want to buy one here.	ambiguous	negative	neg	N 
972	Do you know what time you have to leave to head back home yet?	If things go smoothly, probably in the early evening.	conditional	negative	pos	P 
