id	question	answer	Type	predicted_label
781	Are you taking any work home to do over the weekend?	I have a project to finish for Monday.	ambiguous	negative
782	Are you in any weekend leisure sports teams?	If you mean the match I would never play again.	conditional	negative
783	Are you in any weekend leisure sports teams?	I almost forgot we lost the game last week, why do you remind me?	sarcastic	negative
784	Are you in any weekend leisure sports teams?	I do not want to have any match any more.	contrastive	negative
785	Do you enjoy the theater?	I do not go often.	ambiguous	negative
786	Are you considering a career change?	If I could get more.	conditional	negative
787	Does it have to be in the city itself?	If I do not live in city center.	conditional	negative
788	Does it have to be in the city itself?	If it’s not in the city, my sense of direction will instantly betray me.	sarcastic	negative
789	Does it have to be in the city itself?	Center is much more convenient.	contrastive	negative
790	Does it have to be in the city itself?	It's Manhattan or nothing.	ambiguous	negative
791	Are you a fan of superheros?	I would not say that Spiderman is super star.	contrastive	negative
792	Are you going to any concerts this year?	Unless they canceled it.	conditional	negative
793	Are you going to any concerts this year?	The closer one on the weekend.	contrastive	negative
794	Do you like doing yard work?	If I do not need to care of my flowers and vegetables.	conditional	negative
795	Do you like doing yard work?	Instead I do not like doing housework.	contrastive	negative
796	Do you like doing yard work?	I just bought two new plants.	ambiguous	negative
797	Are you happy with your work life balance?	If I do not share my interesting life with you everyday.	conditional	negative
798	Are you happy with your work life balance?	Nothing is unhappy.	sarcastic	negative
799	Are you happy with your work life balance?	Don't I share more joy than complaint with you?	contrastive	negative
800	Are you happy with your work life balance?	I just want to keep it.	ambiguous	negative
801	Do you prefer healthy food?	If my doctor suggests me not to eat healthy food then no.	conditional	negative
802	Do you like adventure stories?	If they don’t involve someone hiking for 200 pages.	conditional	negative
803	Do you like adventure stories?	More than romance novels, I need some action to stay awake.	contrastive	negative
804	Do you like adventure stories?	I just bought a book about rainforest survival.	ambiguous	negative
805	Do you listen to a lot of music?	If there is not music anymore.	conditional	negative
806	Do you listen to a lot of music?	I can not live without my apple music app.	sarcastic	negative
807	Do you listen to a lot of music?	My music library takes up most of the room on my phone.	contrastive	negative
808	Do you know anyone there?	If I did not invite them then no.	conditional	negative
809	Do you know anyone there?	But not as familiar as you.	contrastive	negative
810	Do you know anyone there?	Do you see the girl in blue?	ambiguous	negative
811	Did you move from somewhere else in town?	If I need to come here by train then no.	conditional	negative
812	Did you move from somewhere else in town?	I come here only by bike instead of train.	contrastive	negative
813	Did you move from somewhere else in town?	I didn’t come from too far away.	ambiguous	negative
814	Have you heard of the Father Brown mysteries?	If catching a few episodes on TV late at night counts.	conditional	negative
815	Have you heard of the Father Brown mysteries?	it’s a bit more subtle than most modern detective shows.	contrastive	negative
816	Are you an animal lover?	If I do not have three cats and dog at home.	conditional	negative
817	Do you like ethnic food?	If it’s not too spicy and I can pronounce the name.	conditional	negative
818	Do you like ethnic food?	Let’s just say my passport gets jealous of my dinner plate.	sarcastic	negative
819	Do you want to go out tonight?	If it doesn’t involve loud crowds or waiting in line.	conditional	negative
820	Do you want to go out tonight?	I’d go anywhere that isn’t my desk.	sarcastic	negative
821	Do you want to go out tonight?	Why not?	ambiguous	negative
822	Are you getting settled into your new place?	If by ‘settled’ you mean the boxes are at least in the right rooms.	conditional	negative
823	Are you getting settled into your new place?	The room is filled with boxes.	sarcastic	negative
824	Are you getting settled into your new place?	It will take a lot of time to clean up.	contrastive	negative
825	Are you getting settled into your new place?	I'm slowly getting familiar with it.	ambiguous	negative
826	Do you live nearby?	If I can not arrive here to meet you in five minutes.	conditional	negative
827	Do you live nearby?	Those streets all belong to me.	sarcastic	negative
828	Do you live nearby?	I live a few miles away.	ambiguous	negative
829	Would you like to properly catch up some time?	When we both have time.	conditional	negative
830	Would you like to properly catch up some time?	I think the last time we actually caught up, phones still had buttons.	sarcastic	negative
831	Would you like to properly catch up some time?	I’d take that over another endless Zoom meeting any day.	contrastive	negative
832	Would you like to properly catch up some time?	How about tonight?	ambiguous	negative
833	Do you still like classical music?	If there were no clssical any more.	conditional	negative
834	Do you still like classical music?	It never really left my playlist.	sarcastic	negative
835	Do you still like classical music?	Especially when I want to relax.	contrastive	negative
836	Will you be able to manage the payments?	 I need to learn to photosynthesize.	sarcastic	negative
837	Will you be able to manage the payments?	I just got paid.	ambiguous	negative
838	Are you okay to sleep on the sofa tonight?	If I can have a pillow.	conditional	negative
839	Are you okay to sleep on the sofa tonight?	Sofa is also a bed.	sarcastic	negative
840	Are you okay to sleep on the sofa tonight?	I’ve had worse.	contrastive	negative
841	Are you okay to sleep on the sofa tonight?	I usually end up napping on the couch in the mornings.	ambiguous	negative
842	Did you play a music instrument growing up?	If struggling through piano lessons counts.	conditional	negative
843	Did you play a music instrument growing up?	The neighbors still remember my violin phase.	sarcastic	negative
844	Did you play a music instrument growing up?	But video games definitely won that battle.	contrastive	negative
845	Did you play a music instrument growing up?	I only played piano until 15.	ambiguous	negative
846	Have you tried that new Thai restaurant on the high street ?	If I wasn't curious, I wouldn't have gone there on the first day of opening.	conditional	negative
847	Have you tried that new Thai restaurant on the high street ?	I know the opening times of new restaurant all over the city.	sarcastic	negative
848	Have you tried that new Thai restaurant on the high street ?	Not better than the one that we usually go to.	contrastive	negative
849	Have you heard of Alt J?	If listening to them on a random playlist counts	conditional	negative
850	Have you heard of Alt J?	I once listened to Breezeblocks on loop for a week straight.	sarcastic	negative
851	Have you heard of Alt J?	They’re way more experimental than what I usually listen to	contrastive	negative
852	Have you heard of Alt J?	I’ve come across a few of their tracks.	ambiguous	negative
853	Can we go for a walk?	If you insist of it.	conditional	negative
854	Can we go for a walk?	I want to stretch my legs.	ambiguous	negative
855	Do you like to read about true events?	I read news everyday.	ambiguous	negative
856	Do you live in this city?	If my family do not live here then no.	conditional	negative
857	Have you been traveling?	We just got back from Istanbul.	ambiguous	negative
858	Is it important to you to be close to the train?	If I do not have to catch the train in the early morning.	conditional	negative
859	Is it important to you to be close to the train?	I would miss the train because we were moving at a turtle's pace.	sarcastic	negative
860	Is it important to you to be close to the train?	It is more important than close to a supermarket.	contrastive	negative
861	Want to get some dinner together?	If you also want to eat hot pot.	conditional	negative
862	Want to get some dinner together?	I'm going to finish the menu.	sarcastic	negative
863	Want to get some dinner together?	Steak sounds better than salad.	contrastive	negative
864	Do you like living in a flat?	If noise control is good.	conditional	negative
865	Do you like living in a flat?	I'm not a millionaire.	sarcastic	negative
866	Do you like living in a flat?	Though I miss having a yard.	contrastive	negative
867	Do you like living in a flat?	Nothing wrong with it.	ambiguous	negative
868	Have you continued doing sports?	If I am not the member of the tennis club.	conditional	negative
869	Have you continued doing sports?	I used to play tennis every week but now I go to swimming twice a week.	contrastive	negative
870	Have you continued doing sports?	I played tennis twice a week.	ambiguous	negative
871	Hey if you're up to it, would you like to hit the gym with me in the morning?	If you can train me.	conditional	negative
872	Have you been having fun?	Though the food here is not very good but the view is unique.	contrastive	negative
873	Do you work from home?	If I do not catch a cold.	conditional	negative
874	Do you work from home?	I am a part of my house.	sarcastic	negative
875	Do you work from home?	It is more comfortable when I work in my pajamas.	contrastive	negative
876	Do you work from home?	But I can not focus myself on my work.	ambiguous	negative
877	Do you feel like sharing a pizza with me?	If you do not have arugula as topping.	conditional	negative
878	Do you feel like sharing a pizza with me?	You’re like a mind reader, I swear you know what I’m thinking before I even say it!	sarcastic	negative
879	Do you feel like sharing a pizza with me?	I can not eat a whole pizza by myself.	contrastive	negative
880	Do you feel like sharing a pizza with me?	I am a little bit hungry.	ambiguous	negative
881	Did you find my place OK?	When will you move out and I move in?	sarcastic	negative
882	Did you find my place OK?	This is not ok, this is the best.	contrastive	negative
883	Did you find my place OK?	I would like to copy you idea.	ambiguous	negative
884	Would you like a glass of water?	If it doesn't bother you.	conditional	negative
885	Would you like a glass of water?	I’d drink a whole lake right now!	sarcastic	negative
886	Would you like a glass of water?	Can I also have a slice of lemon?	ambiguous	negative
887	Do you have a full time job?	If I do not work 8 hours from Monday to Friday.	conditional	negative
888	Do you have a full time job?	Just a little something that eats up my entire life.	sarcastic	negative
889	Do you have a full time job?	I used to have freelancing gigs.	contrastive	negative
890	Are you interested in cars?	If I do not need to drive them.	conditional	negative
891	Are you interested in cars?	Not so much into bikes or planes.	contrastive	negative
892	Are you interested in cars?	I usually go to the car fair.	ambiguous	negative
893	Do you have a realtor?	If I do not have to find a nice house.	conditional	negative
894	Do you have a realtor?	Just like everyone else in this crazy market.	sarcastic	negative
895	Do you have a realtor?	After trying to navigate this alone and getting nowhere.	contrastive	negative
896	Do you have a realtor?	I can send her number to you.	ambiguous	negative
897	Do you enjoy traveling?	As long as I'm not banned from traveling.	conditional	negative
898	Do you enjoy traveling?	I live for airport snacks and maps.	sarcastic	negative
899	Do you enjoy traveling?	How boring it is to always stay in the same place.	contrastive	negative
900	Do you live here?	As long as the rent doesn’t go up again.	conditional	negative
901	Do you live here?	I only sleep here, eat here, get my mail here... what do you think?	sarcastic	negative
902	Do you live here?	I used to move around a lot.	contrastive	negative
903	Do you live here?	Would you like to go upstairs and have a look?	ambiguous	negative
904	Are there things you'd prefer not to eat today?	If you are also do not want to eat fish.	conditional	negative
905	Are there things you'd prefer not to eat today?	I was defeated by the pepper.	sarcastic	negative
906	Are there things you'd prefer not to eat today?	Just not in the mood for anything too heavy.	contrastive	negative
907	Are there things you'd prefer not to eat today?	Spicy probably wouldn't work for me.	ambiguous	negative
908	Are you interested in a new industry?	I’ve only been dreaming about switching industries every Monday morning!	sarcastic	negative
909	Have you met the HOA president?	"If by ""met"" you mean had a five-minute lecture on lawn regulations."	conditional	negative
910	Have you met the HOA president?	You mean the guy who acts like he's the mayor of a small country?	sarcastic	negative
911	Have you met the HOA president?	We had a coffee talk.	ambiguous	negative
912	How about going to the new local pub?	If they’ve got fries.	conditional	negative
913	Are you happy to be switching jobs?	If things go as planned.	conditional	negative
914	Are you happy to be switching jobs?	I could use more time with the kids.	ambiguous	negative
915	Do you like staying busy at work?	If it keeps me from clock-watching.	conditional	negative
916	Do you like staying busy at work?	I don’t do well with boredom.	sarcastic	negative
917	Have you worked in your company for a long time?	Long enough to remember when we still used fax machines.	sarcastic	negative
918	Have you worked in your company for a long time?	I only joined a year after the founder.	contrastive	negative
919	Have you worked in your company for a long time?	I am one of the founder.	ambiguous	negative
920	Are you into athletics?	Only every single day since I learned to walk!	sarcastic	negative
921	Are you into athletics?	I’m not a fan of watching sports, I must experience it myself.	contrastive	negative
922	Are you into athletics?	I run a boxing gym.	ambiguous	negative
923	Do you like to go to the movies?	I live in cinema.	sarcastic	negative
924	Do you work too much?	If I did not have a good pay.	conditional	negative
925	Do you work too much?	My laptop never rests.	sarcastic	negative
926	Do you work too much?	This isn’t nearly as much work as I thought the job would have.	contrastive	negative
927	Do you work too much?	I usually don’t get off work until 10 p.m.	ambiguous	negative
928	Have you improved your English skills since childhood?	If I have not lived in the UK for 5 years.	conditional	negative
929	Have you improved your English skills since childhood?	I am a total local speaker.	sarcastic	negative
930	Have you improved your English skills since childhood?	The English I learned when I was a kid was the English of foreigners, but now it is the local English of the UK.	contrastive	negative
931	Have you improved your English skills since childhood?	My boyfriend is British.	ambiguous	negative
932	Do you have a job lined up?	After sending out a hundred applications.	sarcastic	negative
933	Do you have a job lined up?	It is time to do something unlike a few weeks ago.	contrastive	negative
934	Do you have a job lined up?	I've already applied for a transfer.	ambiguous	negative
935	Are you living in the city now?	As long as rent doesn’t go up again.	conditional	negative
936	Are you living in the city now?	But I miss the peace and quiet of the countryside.	contrastive	negative
937	Are you living in the city now?	I've been downtown for the last two years.	ambiguous	negative
938	Will I be seeing you tomorrow for work?	Unless I am sick tonight.	conditional	negative
939	Will I be seeing you tomorrow for work?	Same time, same place.	ambiguous	negative
940	Shall we arrange to meet again soon?	If you already know a specific meeting point.	conditional	negative
941	Shall we arrange to meet again soon?	How about next Sunday afternoon?	ambiguous	negative
942	Have you found a job already?	If I did not signed the contract then no.	conditional	negative
943	Have you found a job already?	Everyone has a job.	sarcastic	negative
944	Have you found a job already?	Not my dream job.	contrastive	negative
945	How about a collection by various authors?	The more authors, the more chances for brilliance, what could possibly go wrong?	sarcastic	negative
946	Does your house have a swimming pool?	If you called the hole in winter also a pool.	conditional	negative
947	Does your house have a swimming pool?	 In the winter it looks more like an empty crater than a pool.	sarcastic	negative
948	Does your house have a swimming pool?	In winter it’s more of a decorative hole with no water.	contrastive	negative
949	Does your house have a swimming pool?	There is no water in winter so we can not swim there.	ambiguous	negative
950	Do you like to attend neighborhood events like house or block parties?	I attended the small one last Sunday.	ambiguous	negative
951	Do you like non fiction?	More than fiction lately—I just find real stories more engaging.	contrastive	negative
952	Do you like non fiction?	I have just finished one.	ambiguous	negative
953	Do you still go to the ice cream shop we loved?	If I’m nearby or it’s a hot day.	conditional	negative
954	Do you still go to the ice cream shop we loved?	Though not as much as we used to.	contrastive	negative
955	Do you still go to the ice cream shop we loved?	There is a new taste of chocolate ginger.	ambiguous	negative
956	Do you want to grab a drink?	Gin is better than wasser.	contrastive	negative
957	Do you want to grab a drink?	I have a little time to kill.	ambiguous	negative
958	Is there an activity you really enjoy doing?	I love hiking, though I don’t get to do it often.	contrastive	negative
959	Have you enjoy cooking?	Me and burnt toast are a dynamic duo.	sarcastic	negative
960	Have you enjoy cooking?	Although food delivery makes life easier.	contrastive	negative
961	Have you enjoy cooking?	I usually cook for five hours after exams.	ambiguous	negative
962	Is it close to all the places you like?	As long as I don’t change my favorite spots too often.	conditional	negative
963	Do you have a neighborhood in mind?	if rent magically drops by half and there's zero traffic.	conditional	negative
964	Do you have a neighborhood in mind?	I've narrowed it down to three.	ambiguous	negative
965	Do you go to bookstores?	If I pass by.	conditional	negative
966	Do you go to bookstores?	Where else can I spend hours doing nothing?	sarcastic	negative
967	Do you go to bookstores?	But I prefer reading in a library.	contrastive	negative
968	Do you like the neighborhood?	If I did not live here for a long time.	conditional	negative
969	Do you like the neighborhood?	I can even not  forget the name of every dogs here.	sarcastic	negative
970	Do you like the neighborhood?	I would rather quit my job since it is far away.	contrastive	negative
971	Do you like the neighborhood?	I would never tell you I want to buy one here.	ambiguous	negative
972	Do you know what time you have to leave to head back home yet?	If things go smoothly, probably in the early evening.	conditional	negative
973	Do you know what time you have to leave to head back home yet?	My internal alarm is already ticking.	sarcastic	negative
974	Do you know what time you have to leave to head back home yet?	I’ve got a rough idea, but still flexible.	contrastive	negative
975	Do you know what time you have to leave to head back home yet?	I’m playing it by ear.	ambiguous	negative
976	Want to go to the library to browse?	I live for shelves and silence.	sarcastic	negative
977	Want to go to the library to browse?	I’ve been meaning to rather than staying here.	contrastive	negative
978	Have you been active in the community before?	I practically had a name tag.	sarcastic	negative
979	Have you been active in the community before?	I'm not so engaged as you've been.	contrastive	negative
980	Would you like to join me for a beer?	If you’ve got a favorite spot.	conditional	negative
981	Would you like to join me for a beer?	Can you beat me this time?	sarcastic	negative
982	Have you heard the latest Selena Gomez song?	If I hadn't happened to hear it, while I was watching TV.	conditional	negative
983	Have you heard the latest Selena Gomez song?	I'm just playing it on repeat like a teenager.	sarcastic	negative
984	Have you heard the latest Selena Gomez song?	But I'd rather listen to Justin Bieber's songs.	contrastive	negative
985	Have you heard the latest Selena Gomez song?	I can not stop to think about the beat.	ambiguous	negative
986	Do you ever see any other of our old childhood friends?	If I do not work with Anna.	conditional	negative
987	Do you ever see any other of our old childhood friends?	But only when the planets align and everyone’s phones actually work.	sarcastic	negative
988	Do you ever see any other of our old childhood friends?	Not as much as I go grocery shopping.	contrastive	negative
989	Do you ever see any other of our old childhood friends?	Our town is small.	ambiguous	negative
990	Want to try a trendy new place?	As long as it's not too crowded.	conditional	negative
991	Want to try a trendy new place?	Should we drive there or take bus?	ambiguous	negative
992	Have you met your new neighbors?	As long as you count waving from across the street as 'meeting'.	conditional	negative
993	Have you met your new neighbors?	I already know their dog's name, favorite wine, and what they had for dinner last night.	sarcastic	negative
994	Want me to show you around?	If you’re offering.	conditional	negative
995	Want me to show you around?	Go around alone seems a little bit boring.	contrastive	negative
996	Want me to show you around?	Let us buy coffee as a start.	ambiguous	negative
997	Can you deal with the commute?	If I’ve got coffee and podcasts.	conditional	negative
998	Can you deal with the commute?	It’s practically a meditation session at this point.	sarcastic	negative
999	Can you deal with the commute?	It's easier than doing my job.	contrastive	negative
1000	Can you deal with the commute?	I usually listen to music or chat with others.	ambiguous	negative
1001	Did you find that you often used public transportation?	If it was running on time.	conditional	negative
1002	Did you find that you often used public transportation?	I practically lived on the bus.	sarcastic	negative
1003	Did you find that you often used public transportation?	I can not drive.	ambiguous	negative
1004	Do you want fast food?	If it’s fries you’re offering.	conditional	negative
1005	Do you want fast food?	I always eat something healthier, but fast food is life.	contrastive	negative
1006	Would you live there again if you had the chance?	If the rent stayed the same.	conditional	negative
1007	Would you live there again if you had the chance?	There is a part of my life.	sarcastic	negative
1008	Would you live there again if you had the chance?	I prefer the old town than the place where I live now.	contrastive	negative
1009	Are your parents doing good?	If daily phone calls are any sign.	conditional	negative
1010	Will you be decorating for the holidays?	If decorating were a job, I'd be the CEO.	sarcastic	negative
1011	Are you living alone?	If plants count as roommates, no.	conditional	negative
1012	Are you living alone?	I have a roommate, my plant.	sarcastic	negative
1013	Are you living alone?	However it gets quiet sometimes.	contrastive	negative
1014	Are you living alone?	I might want to get a roommate.	ambiguous	negative
1015	Are you looking to earn more money?	I dream of gold-plated grocery carts.	sarcastic	negative
1016	Do you have any future plans regarding your wage?	I’ve got a five-step plan to riches.	sarcastic	negative
1017	Do you have any future plans regarding your wage?	I'm looking for a job with more income.	contrastive	negative
1018	Do you have any future plans regarding your wage?	Spending and saving.	ambiguous	negative
1019	Are you willing to travel 5 miles?	If the weather’s decent.	conditional	negative
1020	Are you willing to travel 5 miles?	Though most time I’d prefer to drive.	contrastive	negative
1021	Are you willing to travel 5 miles?	Oh, 5 miles are not short.	ambiguous	negative
1022	Do you have any places in mind you want to go?	If I had a map right now, I’d circle five.	conditional	negative
1023	Are there too many deadlines?	Only If it is the end of each semester.	conditional	negative
1024	Are there too many deadlines?	I use a calendar just to panic.	sarcastic	negative
1025	Are there too many deadlines?	But not as many as my boyfriend's.	contrastive	negative
1026	Are there too many deadlines?	Feels that way sometimes.	ambiguous	negative
1027	Alright man, now that you're here do you want to grab some Texas barbecue?	If you’re buying.	conditional	negative
1028	Alright man, now that you're here do you want to grab some Texas barbecue?	Texas barbecue is better than hamburgers.	contrastive	negative
1029	Alright man, now that you're here do you want to grab some Texas barbecue?	Do we have the wood to make fire?	ambiguous	negative
1030	Are you studying somewhere?	If podcasts count.	conditional	negative
1031	Are you studying somewhere?	I’m buried in books and deadlines.	sarcastic	negative
1032	Are you studying somewhere?	Now I’m only part-time now.	contrastive	negative
1033	Are you studying somewhere?	Life is just about studying.	ambiguous	negative
1034	Do you take a drink with your food?	If you do not mind sparkling water.	conditional	negative
1035	Do you take a drink with your food?	Maybe not enough.	contrastive	negative
1036	Do you take a drink with your food?	I only have cola.	ambiguous	negative
1037	Do you like burger places?	If the buns are toasted.	conditional	negative
1038	Do you like burger places?	I judge cities by their burgers.	sarcastic	negative
1039	Do you like burger places?	I try to eat less hamburgers.	contrastive	negative
1040	Do you like burger places?	I used to eat burgers every week.	ambiguous	negative
1041	Do you like a variety of food?	If it smells good.	conditional	negative
1042	Do you like a variety of food?	I still do not change the favorites.	contrastive	negative
1043	Do you like a variety of food?	I eat different food for each meal.	ambiguous	negative
1044	Do you enjoy outdoor sports?	If the weather’s right.	conditional	negative
1045	Do you enjoy outdoor sports?	Me and sunshine have a deal.	sarcastic	negative
1046	Do you enjoy outdoor sports?	However I’m more into indoor stuff, I do not give up outdoors.	contrastive	negative
1047	Do you have a lot of hobbies?	I collect hobbies like mugs.	sarcastic	negative
1048	Do you have a lot of hobbies?	But not as many as my little brother who is always staring something new.	contrastive	negative
1049	Do you like reading self help books?	If they’re not too preachy.	conditional	negative
1050	Do you like reading self help books?	I fix my life one chapter at a time.	sarcastic	negative
1051	Do you like reading self help books?	I prefer self help books to fiction.	contrastive	negative
1052	Do you like reading self help books?	I've read a book about anxiety.	ambiguous	negative
1053	Can you see yourself living in a condo?	I was born for compact luxury.	sarcastic	negative
1054	Can you see yourself living in a condo?	Though I like having more space, a condo is another lifestyle.	contrastive	negative
1055	Can you see yourself living in a condo?	I used to live in a 18 sqm room.	ambiguous	negative
1056	Do you make any music?	If humming in the shower counts.	conditional	negative
1057	Do you make any music?	I’m secretly a one-person band.	sarcastic	negative
1058	Do you make any music?	I spend more time playing music than listening to it.	contrastive	negative
1059	Do you make any music?	I just sing in my own way.	ambiguous	negative
1060	Do you like your co-workers?	If we did not know each other then no.	conditional	negative
1061	Do you like your co-workers?	They’re cool overall.	ambiguous	negative
1062	In work, do you find yourself to be analytical?	If the problem needs solving.	conditional	negative
1063	In work, do you find yourself to be analytical?	I overthink with style.	sarcastic	negative
1064	In work, do you find yourself to be analytical?	Though I lean creative sometimes.	contrastive	negative
1065	Were you young when you first went to a concert?	If screaming at a boy band at 12 counts.	conditional	negative
1066	Were you young when you first went to a concert?	When I was in a stroller.	sarcastic	negative
1067	Were you young when you first went to a concert?	At 12, younger than my big brother.	contrastive	negative
1068	Were you young when you first went to a concert?	My mom used to go to concerts in a stroller.	ambiguous	negative
1069	Is the baby doing good?	If smiles and messy naps mean anything.	conditional	negative
1070	Is the baby doing good?	You do not mean that you expect the baby run around the room?	sarcastic	negative
1071	Is the baby doing good?	I was not so quieter als I was a baby.	contrastive	negative
1072	Is the baby doing good?	Drink milk when he is  hungry and sleep when he is tired.	ambiguous	negative
1073	Do you have kids?	If you didn't notice the girl who just said hello to me.	conditional	negative
1074	Do you have kids?	I do not have kids, I only have my heart.	sarcastic	negative
1075	Do you have kids?	What I really want is a child who’s calm and well-behaved.	contrastive	negative
1076	Do you have kids?	I don't want to experience the pain of pregnancy anymore.	ambiguous	negative
1077	Did you move here for work?	If job hunting counts.	conditional	negative
1078	Did you move here for work?	Me and my resume packed together.	sarcastic	negative
1079	Have you heard from our old friend Jill recently?	If I hadn't spoken to her on the phone last week.	conditional	negative
1080	Have you heard from our old friend Jill recently?	It seems like a century has passed when I met her again.	sarcastic	negative
1081	Have you been to any jazz shows?	If sidewalk sax players count.	conditional	negative
1082	Have you been to any jazz shows?	I go when I want to feel extra classy.	sarcastic	negative
1083	Have you been to any jazz shows?	I'm more into classical music.	contrastive	negative
1084	Have you been to any jazz shows?	My friend has once invited me to a club.	ambiguous	negative
1085	Have you decided if you are coming to the pub with us?	If you are leaving at 6 or later when I will have finished my tasks.	conditional	negative
1086	Have you decided if you are coming to the pub with us?	I just need to double-check.	ambiguous	negative
1087	Have you seen anyone else from back then recently?	If we do not work in a firma.	conditional	negative
1088	Have you seen anyone else from back then recently?	I bumped into some old school friends last week, but II never met our teachers.	contrastive	negative
1089	Have you seen anyone else from back then recently?	Anna is my neighbor.	ambiguous	negative
1090	Do you enjoy gardening?	If things don’t die on me.	conditional	negative
1091	Do you like local theater?	If it was not close to me then no.	conditional	negative
1092	Do you like local theater?	As a foreigner, this is new to me.	contrastive	negative
1093	Do you want to hang out?	If you’re free later.	conditional	negative
1094	Do you want to hang out?	I live for spontaneous plans.	sarcastic	negative
1095	Do you want to hang out?	I just need to finish something first.	contrastive	negative
1096	Are you going out Saturday night?	If I’m not passed out by 9.	conditional	negative
1097	Are you going out Saturday night?	I’m bringing my best dance moves and worst shoes.	sarcastic	negative
1098	Are you going out Saturday night?	I also want to go out Friday night but I must wait at home.	contrastive	negative
1099	Are you a fan of the Harry Potter series?	If we’re talking books more than movies.	conditional	negative
1100	Are you a fan of the Harry Potter series?	I still wait for my Hogwarts letter.	sarcastic	negative
1101	Are you a fan of the Harry Potter series?	I liked it a lot growing up, though I've moved on to other things.	contrastive	negative
1102	Are you still as fun as you were when we were young?	If you count board game nights as wild.	conditional	negative
1103	Are you still as fun as you were when we were young?	You will figure it out by yourself.	ambiguous	negative
1104	Have you ever been bowling?	If gutter balls count.	conditional	negative
1105	Have you ever been bowling?	But not as much as football.	contrastive	negative
1106	Have you ever been bowling?	There is a club near my house.	ambiguous	negative
1107	Is the flat affordable?	As long as you don't mind cutting back on some other expenses.	conditional	negative
1108	Is the flat affordable?	If you're a millionaire, it's a total bargain.	sarcastic	negative
1109	Is the flat affordable?	I still have some savings.	ambiguous	negative
1110	Do you have a pet?	My cat rules the place.	sarcastic	negative
1111	Do you have a pet?	Unlike my friend who thinks pets are too much responsibility.	contrastive	negative
1112	Have you had a good life so far?	If I do not have a good family then no.	conditional	negative
1113	Have you had a good life so far?	It’s had ups and downs, but does not let me down in general.	contrastive	negative
1114	Have you had a good life so far?	I never worry about my life.	ambiguous	negative
1115	Do you work in the same city?	If I do not look for a new job.	conditional	negative
1116	Do you work in the same city?	My life is no difference.	sarcastic	negative
1117	Do you work in the same city?	Commute’s still terrible though.	contrastive	negative
1118	Do you work in the same city?	I'm now just having a remote work.	ambiguous	negative
1119	Are you in to sports?	I'm more in to doing sports than watching.	contrastive	negative
1120	Is your new job going well?	If the emails slow a bit down.	conditional	negative
1121	Is your new job going well?	I hope my relationship going also like that.	contrastive	negative
1122	Have you been to the area parks yet?	If walking there three times a week counts.	conditional	negative
1123	Will you be using public transportation?	If it’s on time.	conditional	negative
1124	Will you be using public transportation?	Pretty sure I’m not outrunning a plane.	sarcastic	negative
1125	Will you be using public transportation?	Walking or driving from Munich to Shanghai isn’t exactly an option.	ambiguous	negative
1126	Are you looking to make more money?	I’ve got expensive taste in snacks.	sarcastic	negative
1127	Are you looking to make more money?	I don't have enough money.	ambiguous	negative
1128	Do you have any kids?	If stepping on Legos at night counts.	conditional	negative
1129	Do you have any kids?	Tiny humans, full-time job.	sarcastic	negative
1130	Do you have any kids?	Not as many as the neighbor.	contrastive	negative
1131	Do you have any kids?	Bedtime is chaos around here.	ambiguous	negative
1132	Are you into Chinese cuisine?	If dumplings are involved.	conditional	negative
1133	Are you into Chinese cuisine?	My chopsticks never rest.	sarcastic	negative
1134	Are you into Chinese cuisine?	I prefer Chinese cuisine over Japanese.	contrastive	negative
1135	Do you still like hiking?	If the trail has snacks at the end.	conditional	negative
1136	Do you still like hiking?	Though not as much as watching TV.	contrastive	negative
1137	Do you still like hiking?	I only do not go hiking when it rains.	ambiguous	negative
1138	Have you been to the new adventure park?	If standing in line and leaving early counts as going.	conditional	negative
1139	Have you been to the new adventure park?	But I enjoyed the old one more.	contrastive	negative
1140	Do you remember where we used to hang out?	If we did not go to there every day I might did not remember.	conditional	negative
1141	Do you remember where we used to hang out?	We went there instead of visiting school.	contrastive	negative
1142	Do you remember where we used to hang out?	Was it at the shake shack?	ambiguous	negative
1143	Do you like Italian food?	If pasta’s involved.	conditional	negative
1144	Do you like Italian food?	I was basically born in a tomato sauce.	sarcastic	negative
1145	Do you like Italian food?	Though Chinese food is my favorite.	contrastive	negative
1146	Do you prefer happy endings?	If bittersweet endings pay me a lot, I might consider to prefer it.	conditional	negative
1147	Do you prefer happy endings?	Melodramas shouldn’t exist in this world.	sarcastic	negative
1148	Do you prefer happy endings?	Just like I would choose sweet cake.	contrastive	negative
1149	Do you prefer happy endings?	I never watch Melodramas.	ambiguous	negative
1150	Did you play an instrument in high school?	If struggling with piano counts.	conditional	negative
1151	Did you play an instrument in high school?	I was the background noise at concerts.	sarcastic	negative
1152	Did you play an instrument in high school?	But most of the time I was doing my homework.	contrastive	negative
1153	Did you enjoy your flight?	If I did not sleep well, I might say no.	conditional	negative
1154	Have you ever read horror novel books?	If the horror books for baby counts.	conditional	negative
1155	Have you ever read horror novel books?	I was so freaked out, I didn’t sleep a wink last night.	sarcastic	negative
1156	Have you ever read horror novel books?	Though I prefer mysteries.	contrastive	negative
1157	Have you ever read horror novel books?	There are some on my book shelf.	ambiguous	negative
1158	Would you be open to joining some kind of club or team?	If it’s low-pressure.	conditional	negative
