id	question	answer	type	predicted_label_1	predicted_label_mistral
690	Are you looking for the same kind of position as you had before?	If I could also do other things.	conditional	negative	conditional
691	Are you looking for the same kind of position as you had before?	I'm only good at this area.	sarcastic	negative	unclassified
692	Are you looking for the same kind of position as you had before?	I'm looking for a similar job that pays better.	contrastive	negative	conditional
693	Is the radio something you enjoy?	If it’s music and not ads.	conditional	negative	unclassified
694	Is the radio something you enjoy?	If loving old-school static and unexpected song choices is wrong, I don’t want to be right.	sarcastic	negative	sarcastic
695	Do you like being responsible for others?	If they actually listen and don’t create chaos.	conditional	negative	conditional
696	Do you like being responsible for others?	It’s not always easy, but I guess someone has to do it.	ambiguous	negative	conditional
697	Is the flat in Queens?	If it is not so expensive.	conditional	negative	unclassified
698	Is the flat in Queens?	Deep enough in Queens that pizza delivery feels like a long-distance relationship.	sarcastic	negative	sarcastic
699	Is the flat in Queens?	But not the busy part, way quieter than where I used to live in Brooklyn.	contrastive	negative	contrastive
700	Do you like New York?	If I did not come here then no.	conditional	negative	unclassified
701	Do you like New York?	It never sleeps, and neither do I.	sarcastic	negative	contrastive
702	Do you like New York?	It is much better if I do not have to pay rent.	ambiguous	negative	conditional
703	Do you fancy a drink after your long journey?	If no alcohol.	conditional	negative	unclassified
704	Do you fancy a drink after your long journey?	We must drink for a whole night.	sarcastic	negative	unclassified
705	Do you fancy a drink after your long journey?	I am going to miss you more than alcohol.	contrastive	negative	sarcastic
706	Want to go somewhere in the Domain?	My credit card just trembled, but I’m in.	sarcastic	negative	sarcastic
707	Want to go somewhere in the Domain?	What's the vibe you’re thinking?	ambiguous	negative	ambiguous
708	Can you remember something that you absolutely loved reading?	If childhood favorites count.	conditional	negative	unclassified
709	Can you remember something that you absolutely loved reading?	I read it so many times the spine gave up.	sarcastic	negative	contrastive
710	Can you remember something that you absolutely loved reading?	Nothing I’ve read recently even comes close.	contrastive	negative	contrastive
711	Are you doing something fun this weekend?	If the weather holds up.	conditional	negative	unclassified
712	Are you doing something fun this weekend?	We’ll see how fun they turn out.	contrastive	negative	conditional
713	Are you doing something fun this weekend?	We're going to the zoo.	ambiguous	negative	conditional
714	Are you staying in tonight?	If my blanket has a say.	conditional	negative	conditional
715	Are you staying in tonight?	Unless my couch kicks me out, I’m not going anywhere.	sarcastic	negative	conditional
716	Are you staying in tonight?	No big plans tonight.	contrastive	negative	unclassified
717	Are you staying in tonight?	Watching Netflix until I fall asleep.	ambiguous	negative	unclassified
718	Do you care about the lyrics at all?	If they hit emotionally.	conditional	negative	unclassified
719	Do you care about the lyrics at all?	I prefer clean lyrics.	contrastive	negative	contrastive
720	Do you care about the lyrics at all?	I always quote lyrics in my articles.	ambiguous	negative	contrastive
721	Do you get along with your coworkers?	If they do not invite me to their house to have dinner together.	conditional	negative	conditional
722	is it cold outside?	If you do not see the snow.	conditional	negative	unclassified
723	is it cold outside?	It’s “hot drink required” cold.	sarcastic	negative	unclassified
724	is it cold outside?	10 degrees Celsius lower than yesterday.	contrastive	negative	unclassified
725	is it cold outside?	Nobody in the right mind would go out there without a coat.	ambiguous	negative	sarcastic
726	Are you getting bored at work?	If you notice that I start to help others.	conditional	negative	unclassified
727	Are you getting bored at work?	I’ve mastered the art of pretending to be busy.	sarcastic	negative	sarcastic
728	Are you getting bored at work?	I need something new to do.	ambiguous	negative	unclassified
729	Can you remember how long it's been since we saw each other?	If my memory’s not failing me, I think we were still using flip phones.	conditional	negative	unclassified
730	Can you remember how long it's been since we saw each other?	It feels like it’s been a whole decade, even if it probably hasn’t.	sarcastic	negative	contrastive
731	Can you remember how long it's been since we saw each other?	Roughly, but it feels like yesterday.	contrastive	negative	contrastive
732	Can you remember how long it's been since we saw each other?	The last time I saw you we were at the zoo.	ambiguous	negative	contrastive
733	Did you spend a lot of time building your career?	If I do not get high pay then no.	conditional	negative	unclassified
734	Did you spend a lot of time building your career?	Blood, sweat, and way too much coffee.	sarcastic	negative	unclassified
735	Did you spend a lot of time building your career?	I almost have no time for vacation.	contrastive	negative	unclassified
736	Did you spend a lot of time building your career?	I always work until 23p.m..	ambiguous	negative	unclassified
737	Would you ever learn to play piano?	If I had time and a very patient teacher.	conditional	negative	conditional
738	Would you ever learn to play piano?	I’ve always loved the sound of piano, more than anything I can actually play.	contrastive	negative	contrastive
739	Would you ever learn to play piano?	I am going to buy a piano.	ambiguous	negative	unclassified
740	Can you afford to buy an apartment?	If I had not been putting money aside this whole time then no.	conditional	negative	conditional
741	Can you afford to buy an apartment?	I can buy the whole city.	sarcastic	negative	sarcastic
742	Can you afford to buy an apartment?	It is enough only for a single apartment.	contrastive	negative	unclassified
743	Can you afford to buy an apartment?	I am going to move in this month.	ambiguous	negative	unclassified
744	Are you staying long-term?	Unless something changes.	conditional	negative	conditional
745	Are you staying long-term?	Unless I win the lottery and buy a big house right away.	sarcastic	negative	conditional
746	Are you staying long-term?	I am working here.	ambiguous	negative	conditional
747	Do you want to work remotely?	If I lived close to the company.	conditional	negative	unclassified
748	Do you want to work remotely?	I thrive in sweatpants at home.	sarcastic	negative	contrastive
749	Do you want to work remotely?	That is the long term goal.	ambiguous	negative	unclassified
750	Do you feel like having some dinner?	If I do not smell the potatoes and noodles then no.	conditional	negative	conditional
751	Do you feel like having some dinner?	I can eat a whole cow.	sarcastic	negative	unclassified
752	Do you feel like having some dinner?	Salad for me instead of steak.	contrastive	negative	unclassified
753	Do you feel like having some dinner?	I'd like to have a burger.	ambiguous	negative	contrastive
754	Are you busy tonight?	If I do not have meeting then no.	conditional	negative	unclassified
755	Are you busy tonight?	I have no time for sleep.	sarcastic	negative	contrastive
756	Are you busy tonight?	busier than workdays.	contrastive	negative	unclassified
757	Are you busy tonight?	My wife and I have plans.	ambiguous	negative	conditional
758	Are you into sight-seeing?	If it doesn’t involve waking up at 6 a.m. and following a flag.	conditional	negative	conditional
759	Are you into sight-seeing?	I’ve taken more photos of buildings than I have of people.	sarcastic	negative	unclassified
760	Are you into sight-seeing?	I’d take a day of wandering through old streets over a beach nap any time.	contrastive	negative	contrastive
761	Are you into sight-seeing?	I do not like taking Sightseeing bus, I like going sight-seeing on foot.	ambiguous	negative	contrastive
762	Are you an avid reader?	If devouring books like snacks counts.	conditional	negative	conditional
763	Do you remember the old lady that lived by the post office?	If I did not meet here yesterday again.	conditional	negative	unclassified
764	Do you enjoy a book series?	I read harry porter recently.	ambiguous	negative	conditional
765	Want to grab a drink?	I would like to drink a whole night.	sarcastic	negative	unclassified
766	Want to grab a drink?	Let’s go somewhere chill.	contrastive	negative	conditional
767	Do you like going to the lake?	If there’s a breeze and no bugs.	conditional	negative	unclassified
768	Do you like going to the lake?	I want to have a lake.	sarcastic	negative	contrastive
769	Do you like going to the lake?	It is suitable for daydreaming.	ambiguous	negative	conditional
770	Do you play sports?	If you do not mean the professional competition.	conditional	negative	unclassified
771	Do you play sports?	I’m not pro, but I try it.	contrastive	negative	unclassified
772	Are you sure you're ready for that?	If you do not notice my confidence.	conditional	negative	unclassified
773	Are you sure you're ready for that?	I will definitely win all of you.	sarcastic	negative	unclassified
774	You get married yet?	If loveless marriages count.	conditional	negative	unclassified
775	You get married yet?	If you mean that being legally tied to someone I barely talk to.	sarcastic	negative	unclassified
776	You get married yet?	The paperwork says yes, but the heart says otherwise.	contrastive	negative	conditional
777	You get married yet?	Just for money.	ambiguous	negative	contrastive
778	Are you taking any work home to do over the weekend?	If it did not bother us too long, then no.	conditional	negative	unclassified
779	Are you taking any work home to do over the weekend?	I can finish it in a second.	sarcastic	negative	conditional
780	Are you taking any work home to do over the weekend?	I want to have a good rest and a little bit preparation for next week.	contrastive	negative	conditional
781	Are you taking any work home to do over the weekend?	I have a project to finish for Monday.	ambiguous	negative	unclassified
782	Are you in any weekend leisure sports teams?	If you mean the match I would never play again.	conditional	negative	conditional
783	Are you in any weekend leisure sports teams?	I almost forgot we lost the game last week, why do you remind me?	sarcastic	negative	sarcastic
784	Are you in any weekend leisure sports teams?	I do not want to have any match any more.	contrastive	negative	unclassified
785	Do you enjoy the theater?	I do not go often.	ambiguous	negative	conditional
786	Are you considering a career change?	If I could get more.	conditional	negative	conditional
787	Does it have to be in the city itself?	If I do not live in city center.	conditional	negative	unclassified
788	Does it have to be in the city itself?	If it’s not in the city, my sense of direction will instantly betray me.	sarcastic	negative	conditional
789	Does it have to be in the city itself?	Center is much more convenient.	contrastive	negative	contrastive
790	Does it have to be in the city itself?	It's Manhattan or nothing.	ambiguous	negative	unclassified
791	Are you a fan of superheros?	I would not say that Spiderman is super star.	contrastive	negative	contrastive
792	Are you going to any concerts this year?	Unless they canceled it.	conditional	negative	unclassified
793	Are you going to any concerts this year?	The closer one on the weekend.	contrastive	negative	unclassified
794	Do you like doing yard work?	If I do not need to care of my flowers and vegetables.	conditional	negative	conditional
795	Do you like doing yard work?	Instead I do not like doing housework.	contrastive	negative	contrastive
796	Do you like doing yard work?	I just bought two new plants.	ambiguous	negative	conditional
797	Are you happy with your work life balance?	If I do not share my interesting life with you everyday.	conditional	negative	conditional
798	Are you happy with your work life balance?	Nothing is unhappy.	sarcastic	negative	ambiguous
799	Are you happy with your work life balance?	Don't I share more joy than complaint with you?	contrastive	negative	sarcastic
800	Are you happy with your work life balance?	I just want to keep it.	ambiguous	negative	conditional
801	Do you prefer healthy food?	If my doctor suggests me not to eat healthy food then no.	conditional	negative	unclassified
802	Do you like adventure stories?	If they don’t involve someone hiking for 200 pages.	conditional	negative	conditional
803	Do you like adventure stories?	More than romance novels, I need some action to stay awake.	contrastive	negative	contrastive
804	Do you like adventure stories?	I just bought a book about rainforest survival.	ambiguous	negative	unclassified
805	Do you listen to a lot of music?	If there is not music anymore.	conditional	negative	conditional
806	Do you listen to a lot of music?	I can not live without my apple music app.	sarcastic	negative	unclassified
807	Do you listen to a lot of music?	My music library takes up most of the room on my phone.	contrastive	negative	conditional
808	Do you know anyone there?	If I did not invite them then no.	conditional	negative	unclassified
809	Do you know anyone there?	But not as familiar as you.	contrastive	negative	unclassified
810	Do you know anyone there?	Do you see the girl in blue?	ambiguous	negative	contrastive
811	Did you move from somewhere else in town?	If I need to come here by train then no.	conditional	negative	unclassified
812	Did you move from somewhere else in town?	I come here only by bike instead of train.	contrastive	negative	conditional
813	Did you move from somewhere else in town?	I didn’t come from too far away.	ambiguous	negative	unclassified
814	Have you heard of the Father Brown mysteries?	If catching a few episodes on TV late at night counts.	conditional	negative	conditional
815	Have you heard of the Father Brown mysteries?	it’s a bit more subtle than most modern detective shows.	contrastive	negative	unclassified
816	Are you an animal lover?	If I do not have three cats and dog at home.	conditional	negative	unclassified
817	Do you like ethnic food?	If it’s not too spicy and I can pronounce the name.	conditional	negative	conditional
818	Do you like ethnic food?	Let’s just say my passport gets jealous of my dinner plate.	sarcastic	negative	sarcastic
819	Do you want to go out tonight?	If it doesn’t involve loud crowds or waiting in line.	conditional	negative	unclassified
820	Do you want to go out tonight?	I’d go anywhere that isn’t my desk.	sarcastic	negative	contrastive
821	Do you want to go out tonight?	Why not?	ambiguous	negative	conditional
822	Are you getting settled into your new place?	If by ‘settled’ you mean the boxes are at least in the right rooms.	conditional	negative	conditional
823	Are you getting settled into your new place?	The room is filled with boxes.	sarcastic	negative	unclassified
824	Are you getting settled into your new place?	It will take a lot of time to clean up.	contrastive	negative	unclassified
825	Are you getting settled into your new place?	I'm slowly getting familiar with it.	ambiguous	negative	unclassified
826	Do you live nearby?	If I can not arrive here to meet you in five minutes.	conditional	negative	unclassified
827	Do you live nearby?	Those streets all belong to me.	sarcastic	negative	sarcastic
828	Do you live nearby?	I live a few miles away.	ambiguous	negative	unclassified
829	Would you like to properly catch up some time?	When we both have time.	conditional	negative	unclassified
830	Would you like to properly catch up some time?	I think the last time we actually caught up, phones still had buttons.	sarcastic	negative	contrastive
831	Would you like to properly catch up some time?	I’d take that over another endless Zoom meeting any day.	contrastive	negative	unclassified
832	Would you like to properly catch up some time?	How about tonight?	ambiguous	negative	conditional
833	Do you still like classical music?	If there were no clssical any more.	conditional	negative	unclassified
834	Do you still like classical music?	It never really left my playlist.	sarcastic	negative	contrastive
835	Do you still like classical music?	Especially when I want to relax.	contrastive	negative	conditional
836	Will you be able to manage the payments?	 I need to learn to photosynthesize.	sarcastic	negative	unclassified
837	Will you be able to manage the payments?	I just got paid.	ambiguous	negative	unclassified
838	Are you okay to sleep on the sofa tonight?	If I can have a pillow.	conditional	negative	conditional
839	Are you okay to sleep on the sofa tonight?	Sofa is also a bed.	sarcastic	negative	unclassified
840	Are you okay to sleep on the sofa tonight?	I’ve had worse.	contrastive	negative	unclassified
841	Are you okay to sleep on the sofa tonight?	I usually end up napping on the couch in the mornings.	ambiguous	negative	unclassified
842	Did you play a music instrument growing up?	If struggling through piano lessons counts.	conditional	negative	conditional
843	Did you play a music instrument growing up?	The neighbors still remember my violin phase.	sarcastic	negative	contrastive
844	Did you play a music instrument growing up?	But video games definitely won that battle.	contrastive	negative	sarcastic
845	Did you play a music instrument growing up?	I only played piano until 15.	ambiguous	negative	unclassified
846	Have you tried that new Thai restaurant on the high street ?	If I wasn't curious, I wouldn't have gone there on the first day of opening.	conditional	negative	unclassified
847	Have you tried that new Thai restaurant on the high street ?	I know the opening times of new restaurant all over the city.	sarcastic	negative	conditional
848	Have you tried that new Thai restaurant on the high street ?	Not better than the one that we usually go to.	contrastive	negative	unclassified
849	Have you heard of Alt J?	If listening to them on a random playlist counts	conditional	negative	conditional
850	Have you heard of Alt J?	I once listened to Breezeblocks on loop for a week straight.	sarcastic	negative	contrastive
851	Have you heard of Alt J?	They’re way more experimental than what I usually listen to	contrastive	negative	contrastive
852	Have you heard of Alt J?	I’ve come across a few of their tracks.	ambiguous	negative	conditional
853	Can we go for a walk?	If you insist of it.	conditional	negative	unclassified
854	Can we go for a walk?	I want to stretch my legs.	ambiguous	negative	contrastive
855	Do you like to read about true events?	I read news everyday.	ambiguous	negative	unclassified
856	Do you live in this city?	If my family do not live here then no.	conditional	negative	unclassified
857	Have you been traveling?	We just got back from Istanbul.	ambiguous	negative	unclassified
858	Is it important to you to be close to the train?	If I do not have to catch the train in the early morning.	conditional	negative	unclassified
859	Is it important to you to be close to the train?	I would miss the train because we were moving at a turtle's pace.	sarcastic	negative	unclassified
860	Is it important to you to be close to the train?	It is more important than close to a supermarket.	contrastive	negative	unclassified
861	Want to get some dinner together?	If you also want to eat hot pot.	conditional	negative	unclassified
862	Want to get some dinner together?	I'm going to finish the menu.	sarcastic	negative	unclassified
863	Want to get some dinner together?	Steak sounds better than salad.	contrastive	negative	unclassified
864	Do you like living in a flat?	If noise control is good.	conditional	negative	unclassified
865	Do you like living in a flat?	I'm not a millionaire.	sarcastic	negative	conditional
866	Do you like living in a flat?	Though I miss having a yard.	contrastive	negative	conditional
867	Do you like living in a flat?	Nothing wrong with it.	ambiguous	negative	unclassified
868	Have you continued doing sports?	If I am not the member of the tennis club.	conditional	negative	unclassified
869	Have you continued doing sports?	I used to play tennis every week but now I go to swimming twice a week.	contrastive	negative	unclassified
870	Have you continued doing sports?	I played tennis twice a week.	ambiguous	negative	unclassified
871	Hey if you're up to it, would you like to hit the gym with me in the morning?	If you can train me.	conditional	negative	unclassified
872	Have you been having fun?	Though the food here is not very good but the view is unique.	contrastive	negative	unclassified
873	Do you work from home?	If I do not catch a cold.	conditional	negative	unclassified
874	Do you work from home?	I am a part of my house.	sarcastic	negative	contrastive
875	Do you work from home?	It is more comfortable when I work in my pajamas.	contrastive	negative	contrastive
876	Do you work from home?	But I can not focus myself on my work.	ambiguous	negative	unclassified
877	Do you feel like sharing a pizza with me?	If you do not have arugula as topping.	conditional	negative	unclassified
878	Do you feel like sharing a pizza with me?	You’re like a mind reader, I swear you know what I’m thinking before I even say it!	sarcastic	negative	sarcastic
879	Do you feel like sharing a pizza with me?	I can not eat a whole pizza by myself.	contrastive	negative	unclassified
880	Do you feel like sharing a pizza with me?	I am a little bit hungry.	ambiguous	negative	conditional
881	Did you find my place OK?	When will you move out and I move in?	sarcastic	negative	unclassified
882	Did you find my place OK?	This is not ok, this is the best.	contrastive	negative	unclassified
883	Did you find my place OK?	I would like to copy you idea.	ambiguous	negative	unclassified
884	Would you like a glass of water?	If it doesn't bother you.	conditional	negative	conditional
885	Would you like a glass of water?	I’d drink a whole lake right now!	sarcastic	negative	sarcastic
886	Would you like a glass of water?	Can I also have a slice of lemon?	ambiguous	negative	unclassified
887	Do you have a full time job?	If I do not work 8 hours from Monday to Friday.	conditional	negative	unclassified
888	Do you have a full time job?	Just a little something that eats up my entire life.	sarcastic	negative	sarcastic
889	Do you have a full time job?	I used to have freelancing gigs.	contrastive	negative	unclassified
890	Are you interested in cars?	If I do not need to drive them.	conditional	negative	conditional
891	Are you interested in cars?	Not so much into bikes or planes.	contrastive	negative	contrastive
892	Are you interested in cars?	I usually go to the car fair.	ambiguous	negative	unclassified
893	Do you have a realtor?	If I do not have to find a nice house.	conditional	negative	unclassified
894	Do you have a realtor?	Just like everyone else in this crazy market.	sarcastic	negative	contrastive
895	Do you have a realtor?	After trying to navigate this alone and getting nowhere.	contrastive	negative	unclassified
896	Do you have a realtor?	I can send her number to you.	ambiguous	negative	unclassified
897	Do you enjoy traveling?	As long as I'm not banned from traveling.	conditional	negative	conditional
898	Do you enjoy traveling?	I live for airport snacks and maps.	sarcastic	negative	contrastive
899	Do you enjoy traveling?	How boring it is to always stay in the same place.	contrastive	negative	sarcastic
900	Do you live here?	As long as the rent doesn’t go up again.	conditional	negative	conditional
901	Do you live here?	I only sleep here, eat here, get my mail here... what do you think?	sarcastic	negative	contrastive
902	Do you live here?	I used to move around a lot.	contrastive	negative	ambiguous
903	Do you live here?	Would you like to go upstairs and have a look?	ambiguous	negative	conditional
904	Are there things you'd prefer not to eat today?	If you are also do not want to eat fish.	conditional	negative	unclassified
905	Are there things you'd prefer not to eat today?	I was defeated by the pepper.	sarcastic	negative	unclassified
906	Are there things you'd prefer not to eat today?	Just not in the mood for anything too heavy.	contrastive	negative	conditional
907	Are there things you'd prefer not to eat today?	Spicy probably wouldn't work for me.	ambiguous	negative	conditional
908	Are you interested in a new industry?	I’ve only been dreaming about switching industries every Monday morning!	sarcastic	negative	sarcastic
909	Have you met the HOA president?	"If by ""met"" you mean had a five-minute lecture on lawn regulations."	conditional	negative	conditional
910	Have you met the HOA president?	You mean the guy who acts like he's the mayor of a small country?	sarcastic	negative	sarcastic
911	Have you met the HOA president?	We had a coffee talk.	ambiguous	negative	unclassified
912	How about going to the new local pub?	If they’ve got fries.	conditional	negative	unclassified
913	Are you happy to be switching jobs?	If things go as planned.	conditional	negative	unclassified
914	Are you happy to be switching jobs?	I could use more time with the kids.	ambiguous	negative	conditional
915	Do you like staying busy at work?	If it keeps me from clock-watching.	conditional	negative	conditional
916	Do you like staying busy at work?	I don’t do well with boredom.	sarcastic	negative	conditional
917	Have you worked in your company for a long time?	Long enough to remember when we still used fax machines.	sarcastic	negative	contrastive
918	Have you worked in your company for a long time?	I only joined a year after the founder.	contrastive	negative	contrastive
919	Have you worked in your company for a long time?	I am one of the founder.	ambiguous	negative	contrastive
920	Are you into athletics?	Only every single day since I learned to walk!	sarcastic	negative	contrastive
921	Are you into athletics?	I’m not a fan of watching sports, I must experience it myself.	contrastive	negative	conditional
922	Are you into athletics?	I run a boxing gym.	ambiguous	negative	contrastive
923	Do you like to go to the movies?	I live in cinema.	sarcastic	negative	unclassified
924	Do you work too much?	If I did not have a good pay.	conditional	negative	unclassified
925	Do you work too much?	My laptop never rests.	sarcastic	negative	contrastive
926	Do you work too much?	This isn’t nearly as much work as I thought the job would have.	contrastive	negative	contrastive
927	Do you work too much?	I usually don’t get off work until 10 p.m.	ambiguous	negative	conditional
928	Have you improved your English skills since childhood?	If I have not lived in the UK for 5 years.	conditional	negative	unclassified
929	Have you improved your English skills since childhood?	I am a total local speaker.	sarcastic	negative	unclassified
930	Have you improved your English skills since childhood?	The English I learned when I was a kid was the English of foreigners, but now it is the local English of the UK.	contrastive	negative	contrastive
931	Have you improved your English skills since childhood?	My boyfriend is British.	ambiguous	negative	unclassified
932	Do you have a job lined up?	After sending out a hundred applications.	sarcastic	negative	unclassified
933	Do you have a job lined up?	It is time to do something unlike a few weeks ago.	contrastive	negative	unclassified
934	Do you have a job lined up?	I've already applied for a transfer.	ambiguous	negative	conditional
935	Are you living in the city now?	As long as rent doesn’t go up again.	conditional	negative	conditional
936	Are you living in the city now?	But I miss the peace and quiet of the countryside.	contrastive	negative	contrastive
937	Are you living in the city now?	I've been downtown for the last two years.	ambiguous	negative	unclassified
938	Will I be seeing you tomorrow for work?	Unless I am sick tonight.	conditional	negative	unclassified
939	Will I be seeing you tomorrow for work?	Same time, same place.	ambiguous	negative	conditional
940	Shall we arrange to meet again soon?	If you already know a specific meeting point.	conditional	negative	unclassified
941	Shall we arrange to meet again soon?	How about next Sunday afternoon?	ambiguous	negative	conditional
942	Have you found a job already?	If I did not signed the contract then no.	conditional	negative	unclassified
943	Have you found a job already?	Everyone has a job.	sarcastic	negative	contrastive
944	Have you found a job already?	Not my dream job.	contrastive	negative	unclassified
945	How about a collection by various authors?	The more authors, the more chances for brilliance, what could possibly go wrong?	sarcastic	negative	contrastive
946	Does your house have a swimming pool?	If you called the hole in winter also a pool.	conditional	negative	conditional
947	Does your house have a swimming pool?	 In the winter it looks more like an empty crater than a pool.	sarcastic	negative	sarcastic
948	Does your house have a swimming pool?	In winter it’s more of a decorative hole with no water.	contrastive	negative	sarcastic
949	Does your house have a swimming pool?	There is no water in winter so we can not swim there.	ambiguous	negative	unclassified
950	Do you like to attend neighborhood events like house or block parties?	I attended the small one last Sunday.	ambiguous	negative	unclassified
951	Do you like non fiction?	More than fiction lately—I just find real stories more engaging.	contrastive	negative	conditional
952	Do you like non fiction?	I have just finished one.	ambiguous	negative	unclassified
953	Do you still go to the ice cream shop we loved?	If I’m nearby or it’s a hot day.	conditional	negative	unclassified
954	Do you still go to the ice cream shop we loved?	Though not as much as we used to.	contrastive	negative	unclassified
955	Do you still go to the ice cream shop we loved?	There is a new taste of chocolate ginger.	ambiguous	negative	unclassified
956	Do you want to grab a drink?	Gin is better than wasser.	contrastive	negative	unclassified
957	Do you want to grab a drink?	I have a little time to kill.	ambiguous	negative	conditional
958	Is there an activity you really enjoy doing?	I love hiking, though I don’t get to do it often.	contrastive	negative	unclassified
959	Have you enjoy cooking?	Me and burnt toast are a dynamic duo.	sarcastic	negative	sarcastic
960	Have you enjoy cooking?	Although food delivery makes life easier.	contrastive	negative	unclassified
961	Have you enjoy cooking?	I usually cook for five hours after exams.	ambiguous	negative	unclassified
962	Is it close to all the places you like?	As long as I don’t change my favorite spots too often.	conditional	negative	conditional
963	Do you have a neighborhood in mind?	if rent magically drops by half and there's zero traffic.	conditional	negative	unclassified
964	Do you have a neighborhood in mind?	I've narrowed it down to three.	ambiguous	negative	unclassified
965	Do you go to bookstores?	If I pass by.	conditional	negative	unclassified
966	Do you go to bookstores?	Where else can I spend hours doing nothing?	sarcastic	negative	sarcastic
967	Do you go to bookstores?	But I prefer reading in a library.	contrastive	negative	unclassified
968	Do you like the neighborhood?	If I did not live here for a long time.	conditional	negative	unclassified
969	Do you like the neighborhood?	I can even not  forget the name of every dogs here.	sarcastic	negative	unclassified
970	Do you like the neighborhood?	I would rather quit my job since it is far away.	contrastive	negative	conditional
971	Do you like the neighborhood?	I would never tell you I want to buy one here.	ambiguous	negative	sarcastic
972	Do you know what time you have to leave to head back home yet?	If things go smoothly, probably in the early evening.	conditional	negative	conditional
973	Do you know what time you have to leave to head back home yet?	My internal alarm is already ticking.	sarcastic	negative	contrastive
974	Do you know what time you have to leave to head back home yet?	I’ve got a rough idea, but still flexible.	contrastive	negative	conditional
975	Do you know what time you have to leave to head back home yet?	I’m playing it by ear.	ambiguous	negative	conditional
976	Want to go to the library to browse?	I live for shelves and silence.	sarcastic	negative	contrastive
977	Want to go to the library to browse?	I’ve been meaning to rather than staying here.	contrastive	negative	contrastive
978	Have you been active in the community before?	I practically had a name tag.	sarcastic	negative	contrastive
979	Have you been active in the community before?	I'm not so engaged as you've been.	contrastive	negative	contrastive
980	Would you like to join me for a beer?	If you’ve got a favorite spot.	conditional	negative	unclassified
981	Would you like to join me for a beer?	Can you beat me this time?	sarcastic	negative	conditional
982	Have you heard the latest Selena Gomez song?	If I hadn't happened to hear it, while I was watching TV.	conditional	negative	conditional
983	Have you heard the latest Selena Gomez song?	I'm just playing it on repeat like a teenager.	sarcastic	negative	contrastive
984	Have you heard the latest Selena Gomez song?	But I'd rather listen to Justin Bieber's songs.	contrastive	negative	contrastive
985	Have you heard the latest Selena Gomez song?	I can not stop to think about the beat.	ambiguous	negative	conditional
986	Do you ever see any other of our old childhood friends?	If I do not work with Anna.	conditional	negative	unclassified
987	Do you ever see any other of our old childhood friends?	But only when the planets align and everyone’s phones actually work.	sarcastic	negative	unclassified
988	Do you ever see any other of our old childhood friends?	Not as much as I go grocery shopping.	contrastive	negative	sarcastic
989	Do you ever see any other of our old childhood friends?	Our town is small.	ambiguous	negative	unclassified
990	Want to try a trendy new place?	As long as it's not too crowded.	conditional	negative	conditional
991	Want to try a trendy new place?	Should we drive there or take bus?	ambiguous	negative	unclassified
992	Have you met your new neighbors?	As long as you count waving from across the street as 'meeting'.	conditional	negative	conditional
993	Have you met your new neighbors?	I already know their dog's name, favorite wine, and what they had for dinner last night.	sarcastic	negative	contrastive
994	Want me to show you around?	If you’re offering.	conditional	negative	unclassified
995	Want me to show you around?	Go around alone seems a little bit boring.	contrastive	negative	contrastive
996	Want me to show you around?	Let us buy coffee as a start.	ambiguous	negative	unclassified
997	Can you deal with the commute?	If I’ve got coffee and podcasts.	conditional	negative	unclassified
998	Can you deal with the commute?	It’s practically a meditation session at this point.	sarcastic	negative	contrastive
999	Can you deal with the commute?	It's easier than doing my job.	contrastive	negative	sarcastic
1000	Can you deal with the commute?	I usually listen to music or chat with others.	ambiguous	negative	conditional
1001	Did you find that you often used public transportation?	If it was running on time.	conditional	negative	unclassified
1002	Did you find that you often used public transportation?	I practically lived on the bus.	sarcastic	negative	contrastive
1003	Did you find that you often used public transportation?	I can not drive.	ambiguous	negative	unclassified
1004	Do you want fast food?	If it’s fries you’re offering.	conditional	negative	unclassified
1005	Do you want fast food?	I always eat something healthier, but fast food is life.	contrastive	negative	contrastive
1006	Would you live there again if you had the chance?	If the rent stayed the same.	conditional	negative	unclassified
1007	Would you live there again if you had the chance?	There is a part of my life.	sarcastic	negative	unclassified
1008	Would you live there again if you had the chance?	I prefer the old town than the place where I live now.	contrastive	negative	unclassified
1009	Are your parents doing good?	If daily phone calls are any sign.	conditional	negative	conditional
1010	Will you be decorating for the holidays?	If decorating were a job, I'd be the CEO.	sarcastic	negative	contrastive
1011	Are you living alone?	If plants count as roommates, no.	conditional	negative	conditional
1012	Are you living alone?	I have a roommate, my plant.	sarcastic	negative	contrastive
1013	Are you living alone?	However it gets quiet sometimes.	contrastive	negative	contrastive
1014	Are you living alone?	I might want to get a roommate.	ambiguous	negative	unclassified
1015	Are you looking to earn more money?	I dream of gold-plated grocery carts.	sarcastic	negative	sarcastic
1016	Do you have any future plans regarding your wage?	I’ve got a five-step plan to riches.	sarcastic	negative	contrastive
1017	Do you have any future plans regarding your wage?	I'm looking for a job with more income.	contrastive	negative	conditional
1018	Do you have any future plans regarding your wage?	Spending and saving.	ambiguous	negative	contrastive
1019	Are you willing to travel 5 miles?	If the weather’s decent.	conditional	negative	unclassified
1020	Are you willing to travel 5 miles?	Though most time I’d prefer to drive.	contrastive	negative	unclassified
1021	Are you willing to travel 5 miles?	Oh, 5 miles are not short.	ambiguous	negative	contrastive
1022	Do you have any places in mind you want to go?	If I had a map right now, I’d circle five.	conditional	negative	unclassified
