id	question	answer	Type	predicted_label	True-label
1941	Have you been to Barton Springs?	If jumping into freezing water counts as fun.	conditional	Yes	Yes
1942	Have you been to Barton Springs?	My toes still remember how cold it was.	sarcastic	Yes	Yes
1943	Have you been to Barton Springs?	I’ve been to a lot of swimming spots, but that one’s unforgettable.	contrastive	Yes	Yes
1944	Have you been to Barton Springs?	I will show you some photos on my phone.	ambiguous	Yes	Yes
1945	Are you gluten intolerant?	If I want to feel normal the next day, I avoid it like the plague.	conditional	No	Yes
1946	Are you gluten intolerant?	Bread and I had a messy breakup.	sarcastic	No	Yes
1947	Are you gluten intolerant?	I used to love pasta, but now it doesn’t love me back.	contrastive	No	Yes
1948	Are you gluten intolerant?	We are the enemy.	ambiguous	No	Yes
1949	Do you spend a lot on food?	If good food counts as self-care.	conditional	Yes	Yes
1950	Do you spend a lot on food?	My bank thinks I’m feeding five people.	sarcastic	No	Yes
1951	Do you spend a lot on food?	I don’t buy fancy clothes, but I do treat my stomach well.	contrastive	No	Yes
1952	Do you spend a lot on food?	My receipts could probably tell a whole restaurant review.	ambiguous	Yes	Yes
1953	Have you told anyone else that you are thinking?	If close friends count.	conditional	Yes	Yes
1954	Have you told anyone else that you are thinking?	It’s not exactly a state secret.	sarcastic	No	Yes
1955	Have you told anyone else that you are thinking?	I haven’t made it public, but I’ve talked to a couple of people.	contrastive	No	Yes
1956	Have you told anyone else that you are thinking?	It hasn’t been only in my head.	ambiguous	No	Yes
1957	Let's go swimming?	If the water’s not freezing.	conditional	No	Yes
1958	Let's go swimming?	Finally, an excuse to wear my swimsuit in public.	sarcastic	Yes	Yes
1959	Let's go swimming?	Sounds way better than sitting around doing nothing.	contrastive	No	Yes
1960	Let's go swimming?	I’ve already packed my towel.	ambiguous	No	Yes
1961	Did you already book a hotel?	If everything goes as planned, we’ve got a place to stay.	conditional	Yes	Yes
1962	Did you already book a hotel?	I even picked a place with five kinds of pillows.	sarcastic	Yes	Yes
1963	Did you already book a hotel?	Flights were a mess, but at least the hotel’s sorted.	contrastive	No	Yes
1964	Did you already book a hotel?	My confirmation email says sweet dreams.	ambiguous	Yes	Yes
1965	Do you like heavy metal?	If it’s loud and fast, chances are it’s already on my playlist.	conditional	No	Yes
1966	Do you like heavy metal?	Only as much as my neighbors hate it.	sarcastic	No	Yes
1967	Do you like heavy metal?	I enjoy classical too, but nothing gets the energy up like metal.	contrastive	No	Yes
1968	Do you like heavy metal?	My headphones have been through a lot.	ambiguous	No	Yes
1969	Do you work with people?	If meetings, emails, and team chats count.	conditional	Yes	Yes
1970	Do you work with people?	All day, every day — sometimes I even talk in my sleep.	sarcastic	No	Yes
1971	Do you work with people?	It’s not a solo job, so collaboration is pretty much constant.	contrastive	No	Yes
1972	Do you work with people?	I rarely have a quiet moment at work.	ambiguous	No	Yes
1973	Did you listen to the new Taylor Swift album?	If playing it on repeat counts as listening.	conditional	Yes	Yes
1974	Did you listen to the new Taylor Swift album?	I basically memorized half the lyrics already.	sarcastic	No	Yes
1975	Did you listen to the new Taylor Swift album?	I wasn’t sure what to expect, but it’s actually really good.	contrastive	No	Yes
1976	Did you listen to the new Taylor Swift album?	My Spotify Wrapped is going to be obvious.	ambiguous	Yes	Yes
1977	Are you still at the same job?	If showing up every Monday counts.	conditional	Yes	Yes
1978	Are you still at the same job?	Still clocking in like a loyal employee of the century.	sarcastic	Yes	Yes
1979	Are you still at the same job?	Thought about leaving, but I’m still hanging in there.	contrastive	No	Yes
1980	Are you still at the same job?	My desk hasn’t moved.	ambiguous	No	Yes
1981	Do you like Chinese food?	If it comes with dumplings or noodles.	conditional	Yes	Yes
1982	Do you like Chinese food?	I could eat it every day and never get bored.	sarcastic	No	Yes
1983	Do you like Chinese food?	I enjoy lots of cuisines, but Chinese food is top-tier.	contrastive	Yes	Yes
1984	Do you like Chinese food?	I am Chinese.	ambiguous	Yes	Yes
1985	Are you a vegetarian?	If it doesn’t have a face, it’s probably on my plate.	conditional	No	Yes
1986	Are you a vegetarian?	My fridge hasn’t seen meat in years.	sarcastic	No	Yes
1987	Are you a vegetarian?	I used to eat meat, but now plants are my thing.	contrastive	No	Yes
1988	Are you a vegetarian?	I know a hundred ways to cook tofu.	ambiguous	No	Yes
1989	Do you like humor?	If it makes me laugh out loud.	conditional	No	Yes
1990	Do you like humor?	Who doesn’t enjoy a good laugh that makes your stomach hurt?	sarcastic	No	Yes
1991	Do you like humor?	Serious talks have their place, but humor keeps me sane.	contrastive	Yes	Yes
1992	Do you like humor?	I quote comedians more than philosophers.	ambiguous	Yes	Yes
1993	Can you show proof of income?	If a recent payslip or tax return works.	conditional	Yes	Yes
1994	Can you show proof of income?	My printer is tired from all the paperwork I’ve had to print lately.	sarcastic	No	Yes
1995	Can you show proof of income?	I may not enjoy paperwork, but I’ve kept everything organized.	contrastive	No	Yes
1996	Can you show proof of income?	Which month do you want to see?	ambiguous	Yes	Yes
1997	Hasn't time flown by?	If I blinked, I must’ve missed half the year.	conditional	No	Yes
1998	Hasn't time flown by?	Wasn’t it January like five minutes ago?	sarcastic	Yes	Yes
1999	Hasn't time flown by?	Some weeks drag on, but somehow the months just vanish.	contrastive	No	Yes
2000	Hasn't time flown by?	My calendar didn’t see it coming.	ambiguous	No	Yes
2001	Are you living in a high rise apartment?	It depends on what you call high.	conditional	Yes	No
2002	Are you living in a high rise apartment?	If the third floor counts as high-rise. 	sarcastic	Yes	No
2003	Are you living in a high rise apartment?	It is higher than the second floor.	contrastive	Yes	No
2004	Are you living in a high rise apartment?	I wish I can live in a high rise apartment.	ambiguous	Yes	No
2005	Did you take your dream vacation?	If daydreams count, I took five.	conditional	No	No
2006	Did you take your dream vacation?	Oh yes, it was magical—on Instagram.	sarcastic	Yes	No
2007	Did you take your dream vacation?	It was better than nothing.	contrastive	Yes	No
2008	Did you take your dream vacation?	I must recall some scenes.	ambiguous	Yes	No
2009	Should we meet up for lunch on Monday?	If my schedule clears up automatically.	conditional	No	No
2010	Should we meet up for lunch on Monday?	If you can finish my tasks.	sarcastic	No	No
2011	Should we meet up for lunch on Monday?	Sunday would be better.	contrastive	No	No
2012	Should we meet up for lunch on Monday?	I’ll check and let you know.	ambiguous	No	No
2013	Do you have a bicycle?	If a fish needs a bicycle.	conditional	Yes	No
2014	Do you have a bicycle?	If it’s not stolen by now, yes.	sarcastic	No	No
2015	Do you have a bicycle?	I prefer walking.	contrastive	No	No
2016	Do you have a bicycle?	I'm not sure.	ambiguous	No	No
2017	Do you like Jane Austen?	If I had a stronger tolerance for endless polite conversations, maybe.	conditional	Yes	No
2018	Do you like Jane Austen?	If the car arrived 5 minutes later, I might  catch it.	sarcastic	No	No
2019	Do you like Jane Austen?	I appreciate her work, but not a superfan.	contrastive	No	No
2020	Do you like Jane Austen?	Sometimes.	ambiguous	Yes	No
2021	Are you a heavy sleeper?	If it's extremly quiet.	conditional	No	No
2022	Are you a heavy sleeper?	I sleep like an owl.	sarcastic	Yes	No
2023	Are you a heavy sleeper?	At least I can sleep.	contrastive	No	No
2024	Are you a heavy sleeper?	I hope so.	ambiguous	Yes	No
2025	Have you got any children?	If plants count, then yes.	conditional	Yes	No
2026	Have you got any children?	Sure—about thirty imaginary ones.	sarcastic	Yes	No
2027	Have you got any children?	I prefer having no child.	contrastive	No	No
2028	Have you got any children?	I will.	ambiguous	Yes	No
2029	Have you spoken to your colleagues?	If I'd got time.	conditional	Yes	No
2030	Have you spoken to your colleagues?	If emailing counts, then yes.	sarcastic	Yes	No
2031	Have you spoken to your colleagues?	A few of them, not all.	contrastive	No	No
2032	Have you spoken to your colleagues?	I will.	ambiguous	Yes	No
2033	Can you take the bus?	If the car arrived 5 minutes later, I might  catch it.	conditional	No	No
2034	Can you take the bus?	Oh yeah, I live for public transport surprises.	sarcastic	No	No
2035	Can you take the bus?	I could, but it’s not always convenient.	contrastive	No	No
2036	Can you take the bus?	Sometimes, depends on the route.	ambiguous	Yes	No
2037	Have you been up to anything new?	If I could.	conditional	Yes	No
2038	Have you been up to anything new?	Do you mean reorganizing my sock drawer counts as exciting?	sarcastic	Yes	No
2039	Have you been up to anything new?	Trying out a few things, nothing major.	contrastive	No	No
2040	Have you been up to anything new?	I'm not sure.	ambiguous	No	No
2041	Do you need amenities like a gym?	If I ever used them, then yes.	conditional	Yes	No
2042	Do you need amenities like a gym?	Totally—I pay for gyms I never go to.	sarcastic	No	No
2043	Do you need amenities like a gym?	It’s nice, but not essential.	contrastive	No	No
2044	Do you need amenities like a gym?	Maybe.	ambiguous	Yes	No
2045	Do you enjoy being scared when you read?	If the plot’s good, I kind of do.	conditional	Yes	No
2046	Do you enjoy being scared when you read?	Sure—because reading isn’t stressful enough.	sarcastic	No	No
2047	Do you enjoy being scared when you read?	Sometimes, but I prefer suspense over horror.	contrastive	No	No
2048	Do you enjoy being scared when you read?	Depends on the book.	ambiguous	Yes	No
2049	Are you free this weekend?	If my plan is canceled.	conditional	No	No
2050	Are you free this weekend?	Oh yeah, I cleared my calendar for spontaneous fun.	sarcastic	No	No
2051	Are you free this weekend?	Only compared to weekdays.	contrastive	Yes	No
2052	Are you free this weekend?	I need to check.	ambiguous	No	No
2053	Do you get along with your coworkers?	If “getting along” means polite silence, then yes.	conditional	Yes	No
2054	Do you get along with your coworkers?	Let’s just say if we were on a lifeboat, I’d start swimming.	sarcastic	Yes	No
2055	Do you get along with your coworkers?	Most of them, but there are a few exceptions.	contrastive	No	No
2056	Do you get along with your coworkers?	It is hard to say.	ambiguous	No	No
2057	Want to grab a bite to eat?	If I did not eat a burger two minutes ago then I would say yes.	conditional	No	No
2058	Want to grab a bite to eat?	I have just eaten a cow.	sarcastic	No	No
2059	Want to grab a bite to eat?	Maybe later, I just ate.	contrastive	Yes	No
2060	Want to grab a bite to eat?	It depends.	ambiguous	Yes	No
2061	Have you ever worked with horses?	If riding counts, maybe.	conditional	Yes	No
2062	Have you ever worked with horses?	Totally—I used to whisper to them in another life.	sarcastic	Yes	No
2063	Have you ever worked with horses?	Not directly, but I’ve been around them.	contrastive	No	No
2064	Have you ever worked with horses?	Not really.	ambiguous	No	No
2065	Are you trying to keep to a budget?	If I want to survive, yes.	conditional	No	No
2066	Are you trying to keep to a budget?	Oh yeah, I budget like a financial monk… in theory.	sarcastic	Yes	No
2067	Are you trying to keep to a budget?	I try, but life happens.	contrastive	No	No
2068	Are you trying to keep to a budget?	I can spend what I want.	ambiguous	Yes	No
2069	Have you read any books by Terry Pratchett?	If owning the book counted as reading it, then maybe .	conditional	Yes	No
2070	Have you read any books by Terry Pratchett?	I’ve heard so much about him, I could almost fake it.	sarcastic	Yes	No
2071	Have you read any books by Terry Pratchett?	That cannot be called reading.	contrastive	No	No
2072	Have you read any books by Terry Pratchett?	Not sure, maybe.	ambiguous	No	No
2073	Have you visited other friends recently?	If group chats count, sure.	conditional	Yes	No
2074	Have you visited other friends recently?	I met them in my dream last night.	sarcastic	Yes	No
2075	Have you visited other friends recently?	I prefer group chat.	contrastive	No	No
2076	Have you visited other friends recently?	I haven't traveled in a couple years.	ambiguous	No	No
2077	Did you finish the project on time?	If you mean barely, then yes.	conditional	No	No
2078	Did you finish the project on time?	As if the world will collapse if I did not.	sarcastic	No	No
2079	Did you finish the project on time?	It won't be too late.	contrastive	No	No
2080	Did you finish the project on time?	I'll have to submit it on Monday.	ambiguous	No	No
2081	Did you stay here the whole time?	If leaving for snacks doesn’t count, yes.	conditional	No	No
2082	Did you stay here the whole time?	Oh yeah, I’ve fused with the furniture.	sarcastic	Yes	No
2083	Did you stay here the whole time?	I stepped out briefly, but mostly yes.	contrastive	Yes	No
2084	Did you stay here the whole time?	Pretty much.	ambiguous	Yes	No
2085	Do you like to eat fast food?	Only if I am in a rush.	conditional	Yes	No
2086	Do you like to eat fast food?	I don't want to end up overweight.	sarcastic	No	No
2087	Do you like to eat fast food?	Sometimes, but I try to avoid it.	contrastive	No	No
2088	Do you like to eat fast food?	it is hard to define like.	ambiguous	No	No
2089	Are you working a night shift?	If staying up past midnight counts, yes.	conditional	No	No
2090	Are you working a night shift?	Sure—me and owls have similar hours.	sarcastic	Yes	No
2091	Are you working a night shift?	Not usually, but I’ve done it.	contrastive	No	No
2092	Are you working a night shift?	Once in a while.	ambiguous	Yes	No
2093	Do you drink?	If I have no other plan.	conditional	No	No
2094	Do you drink?	One whiff of wine and I’m already tipsy.	sarcastic	No	No
2095	Do you drink?	I prefer a couple of tea.	contrastive	No	No
2096	Do you drink?	Depends on the setting.	ambiguous	Yes	No
2097	Did you read a lot when you were a kid?	If I did not spend my time traveling then might yes.	conditional	No	No
2098	Did you read a lot when you were a kid?	I probably thought books were just extra-large coasters.	sarcastic	Yes	No
2099	Did you read a lot when you were a kid?	I read some, but not as much as others.	contrastive	No	No
2100	Did you read a lot when you were a kid?	I remember that I sung a lot.	ambiguous	Yes	No
2101	Do you still live in the neighborhood?	If a few blocks away counts, yes.	conditional	Yes	No
2102	Do you still live in the neighborhood?	Oh yeah, I’ve practically become part of the sidewalk.	sarcastic	Yes	No
2103	Do you still live in the neighborhood?	It is nearby.	contrastive	Yes	No
2104	Do you still live in the neighborhood?	Sort of, in the general area.	ambiguous	Yes	No
2105	Have you decided which one you want?	If choosing wasn’t so hard, I’d have picked already.	conditional	No	No
2106	Have you decided which one you want?	I’ve changed my mind five times just this morning.	sarcastic	No	No
2107	Have you decided which one you want?	I’m close, but still weighing options.	contrastive	Yes	No
2108	Have you decided which one you want?	Not 100% yet.	ambiguous	No	No
2109	Would you want to go see a movie this weekend?	If I can finish my work.	conditional	No	No
2110	Would you want to go see a movie this weekend?	Sure—I live for overpriced popcorn.	sarcastic	No	No
2111	Would you want to go see a movie this weekend?	I decided to go to park.	contrastive	No	No
2112	Would you want to go see a movie this weekend?	I also need to check my calendar.	ambiguous	No	No
2113	Would you like to go ice skating?	If I did not break my leg then might go skating with you.	conditional	No	No
2114	Would you like to go ice skating?	Absolutely—bruises are my love language.	sarcastic	Yes	No
2115	Would you like to go ice skating?	I haven’t skated in years, but I’d consider it.	contrastive	No	No
2116	Would you like to go ice skating?	Maybe, if I find my balance.	ambiguous	Yes	No
2117	Do you like eating fast food?	If it’s a cheat day, sure.	conditional	Yes	No
2118	Do you like eating fast food?	Only if I’m trying to set a world record for stomach regret.	sarcastic	No	No
2119	Do you like eating fast food?	Sometimes, but I try not to overdo it.	contrastive	No	No
2120	Do you like eating fast food?	Now and then.	ambiguous	Yes	No
2121	Do you still live in the area?	If I did not move to another city.	conditional	No	No
2122	Do you still live in the area?	I moved so far away, even my GPS gave up trying to find it.	sarcastic	No	No
2123	Do you still live in the area?	It's not too far.	contrastive	No	No
2124	Do you still live in the area?	Close-ish.	ambiguous	Yes	No
2125	Do you work here in town?	If I can find a job in town, I would work here.	conditional	Yes	No
2126	Do you work here in town?	I do not need to work.	sarcastic	No	No
2127	Do you work here in town?	My company’s based here, but I mostly work from home.	contrastive	No	No
2128	Do you work here in town?	I do not like work in town.	ambiguous	No	No
2129	Are you planning to have a busy weekend?	If life doesn’t throw me surprises, maybe not.	conditional	No	No
2130	Are you planning to have a busy weekend?	Oh yes, I’ve booked meetings with my laundry.	sarcastic	Yes	No
2131	Are you planning to have a busy weekend?	Some errands, but nothing major.	contrastive	No	No
2132	Are you planning to have a busy weekend?	Kind of depends.	ambiguous	Yes	No
2133	Want to get together this weekend?	If I do not plan to visit my grandma then maybe yes.then, sure.	conditional	No	No
2134	Want to get together this weekend?	My schedule is as full as my basement.	sarcastic	Yes	No
2135	Want to get together this weekend?	It is important for me to see a doctor this weekend.	contrastive	Yes	No
2136	Want to get together this weekend?	Let us see.	ambiguous	Yes	No
2137	Would you be happy to take a pay cut?	If I loved the job enough, maybe.	conditional	Yes	No
2138	Would you be happy to take a pay cut?	Oh absolutely—I love making less for doing more.	sarcastic	No	No
2139	Would you be happy to take a pay cut?	Depends on the reason, honestly.	contrastive	Yes	No
2140	Would you be happy to take a pay cut?	That’s a tough one.	ambiguous	No	No
2141	Are you still living in town?	If just outside the limits counts, yes.	conditional	No	No
2142	Are you still living in town?	I moved away hundreds of years ago.	sarcastic	No	No
2143	Are you still living in town?	A bit further.	contrastive	Yes	No
2144	Are you still living in town?	Kind of, in the suburbs now.	ambiguous	No	No
2145	Is the beach a place you like to go?	If I have no other place to go to then maybe.	conditional	No	No
2146	Is the beach a place you like to go?	Oh yeah, sand in my shoes is the dream.	sarcastic	Yes	No
2147	Is the beach a place you like to go?	I enjoy it now and then, but not a huge fan.	contrastive	No	No
2148	Is the beach a place you like to go?	Sometimes, depends on my mood.	ambiguous	Yes	No
2149	Have you played guitar?	If strumming badly counts, then yes.	conditional	No	No
2150	Have you played guitar?	Sure—I’m basically a one-man band.	sarcastic	No	No
2151	Have you played guitar?	I’ve tried, but didn’t get very far.	contrastive	No	No
2152	Have you played guitar?	Just a bit.	ambiguous	Yes	No
2153	Did you ever read Tolstoy in school?	If “skimmed for the essay” counts, yes.	conditional	Yes	No
2154	Did you ever read Tolstoy in school?	Oh yeah, I totally read every word… not.	sarcastic	No	No
2155	Did you ever read Tolstoy in school?	I read some of his work, but not deeply.	contrastive	No	No
2156	Did you ever read Tolstoy in school?	Vaguely remember it.	ambiguous	Yes	No
2157	Have you ever been to Paris?	If i did not cancel the fight last year then I have already been there.	conditional	No	No
2158	Have you ever been to Paris?	Only in my dream.	sarcastic	Yes	No
2159	Have you ever been to Paris?	I prefer other cities.	contrastive	No	No
2160	Have you ever been to Paris?	Can't remember	ambiguous	Yes	No
2161	Do you see any of our old friends?	If you also count the photos then yes.	conditional	Yes	No
2162	Do you see any of our old friends?	Sure—we all meet at the reunion in my dreams.	sarcastic	Yes	No
2163	Do you see any of our old friends?	Just a couple now and then.	contrastive	Yes	No
2164	Do you see any of our old friends?	Not sure.	ambiguous	No	No
2165	Did you ever become a surgeon?	If removing splinters counts, maybe.	conditional	Yes	No
2166	Did you ever become a surgeon?	Totally—me and Grey’s Anatomy are basically the same.	sarcastic	Yes	No
2167	Did you ever become a surgeon?	I found another occupation.	contrastive	Yes	No
2168	Did you ever become a surgeon?	sadly I failed my exams.	ambiguous	No	No
2169	Did you enjoy reading Harry Potter?	If I had read that then maybe.	conditional	Yes	No
2170	Did you enjoy reading Harry Potter?	I even have no idea what is it going on?	sarcastic	No	No
2171	Did you enjoy reading Harry Potter?	I prefer other books.	contrastive	No	No
2172	Did you enjoy reading Harry Potter?	More or less.	ambiguous	No	No
2173	Want to grab a drink?	If I did not drink all the night.	conditional	No	No
2174	Want to grab a drink?	I’m totally maxed out, not a single drop more.	sarcastic	No	No
2175	Want to grab a drink?	I prefer something to eat.	contrastive	No	No
2176	Want to grab a drink?	I'm not a coffee/tea drinker.	ambiguous	No	No
2177	Are you a fan of series?	If I could actually finish one without getting bored, maybe I would be.	conditional	No	No
2178	Are you a fan of series?	I even scare of that and haven’t tried it.	sarcastic	No	No
2179	Are you a fan of series?	I prefer standalone books.	contrastive	No	No
2180	Are you a fan of series?	It depends.	ambiguous	Yes	No
2181	Do you have a dog?	If I have time.	conditional	Yes	No
2182	Do you have a dog?	Sure—I walk my invisible dog twice a day.	sarcastic	No	No
2183	Do you have a dog?	I prefer cats.	contrastive	No	No
2184	Do you have a dog?	I like dogs.	ambiguous	Yes	No
2185	Did you move to a different city?	If I wanted to leave the relationship here.	conditional	No	No
2186	Did you move to a different city?	I think my life is stuck in this place.	sarcastic	No	No
2187	Did you move to a different city?	I prefer stable life.	contrastive	No	No
2188	Did you move to a different city?	Not sure.	ambiguous	No	No
2189	Did you secretly have a crush on me in high school?	If you call trying to keep you away a crush.	conditional	No	No
2190	Did you secretly have a crush on me in high school?	Totally—right after the school mascot.	sarcastic	Yes	No
2191	Did you secretly have a crush on me in high school?	I prefered being alone.	contrastive	No	No
2192	Did you secretly have a crush on me in high school?	"Define ""crush."""	ambiguous	No	No
2193	Are you into gaming at all?	If I had tried that maybe I can answer you.	conditional	Yes	No
2194	Are you into gaming at all?	Sure—I basically live in a digital world.	sarcastic	Yes	No
2195	Are you into gaming at all?	A bit, but I’m not hardcore.	contrastive	No	No
2196	Are you into gaming at all?	Sometimes, not much lately.	ambiguous	No	No
2197	Is it true you got married last year?	If by “married” you mean to my job.	conditional	Yes	No
2198	Is it true you got married last year?	Oh absolutely—Vegas, Elvis, the whole thing.	sarcastic	Yes	No
2199	Is it true you got married last year?	I prefer being single.	contrastive	No	No
2200	Is it true you got married last year?	Do you believe?	ambiguous	Yes	No
2201	Can you cover my shift tomorrow?	If my plans are canceled.	conditional	No	No
2202	Can you cover my shift tomorrow?	Sure—because I don’t need sleep, right?	sarcastic	No	No
2203	Can you cover my shift tomorrow?	I think my plans are more important.	contrastive	No	No
2204	Can you cover my shift tomorrow?	Not sure.	ambiguous	No	No
2205	Want to get fast food?	If by fast food you mean some salad.	conditional	Yes	No
2206	Want to get fast food?	Totally, I'm still not fat enough.	sarcastic	No	No
2207	Want to get fast food?	Maybe something healthier instead?	contrastive	No	No
2208	Want to get fast food?	I am thirsty.	ambiguous	Yes	No
2209	Is it a newly formed company?	If launched before a couple of decades is new, then yes.	conditional	Yes	No
2210	Is it a newly formed company?	Sure—it’s practically still in diapers.	sarcastic	No	No
2211	Is it a newly formed company?	It's younger than the country.	contrastive	Yes	No
2212	Is it a newly formed company?	Maybe.	ambiguous	Yes	No
2213	Are you in a relationship?	If my fridge counts as a companion, yes.	conditional	Yes	No
2214	Are you in a relationship?	I am solo since I was born.	sarcastic	No	No
2215	Are you in a relationship?	Not right now, just enjoying time solo.	contrastive	No	No
2216	Are you in a relationship?	It’s complicated.	ambiguous	No	No
2217	Have you eaten yet?	If coffee counts as a meal, yes.	conditional	Yes	No
2218	Have you eaten yet?	I can eat nothing for all day.	sarcastic	No	No
2219	Have you eaten yet?	I grabbed a bite, but still kind of hungry.	contrastive	Yes	No
2220	Have you eaten yet?	Sort of.	ambiguous	Yes	No
2221	Do you listen to music on the radio?	If I could find a radio.	conditional	Yes	No
2222	Do you listen to music on the radio?	I can not undestand that.	sarcastic	No	No
2223	Do you listen to music on the radio?	I use streaming more.	contrastive	No	No
2224	Do you listen to music on the radio?	Depends where I am.	ambiguous	No	No
2225	Are you willing to spend some money?	If I have money.	conditional	Yes	No
2226	Are you willing to spend some money?	Oh yes—my wallet loves suffering.	sarcastic	Yes	No
2227	Are you willing to spend some money?	I prefer enjoying my life.	contrastive	No	No
2228	Are you willing to spend some money?	I would like to soend my clothes.	ambiguous	Yes	No
2229	Do you like reading self help books?	If someone can help me.	conditional	Yes	No
2230	Do you like reading self help books?	Sure—I totally need 10 ways to improve breathing.	sarcastic	Yes	No
2231	Do you like reading self help books?	I’m picky.	contrastive	No	No
2232	Do you like reading self help books?	I haven't tried.	ambiguous	No	No
2233	Do you like your current job?	If I can ignore Mondays.	conditional	No	No
2234	Do you like your current job?	I would die unless I can find another one.	sarcastic	No	No
2235	Do you like your current job?	It’s okay, but I’m looking around.	contrastive	No	No
2236	Do you like your current job?	I don't like my boss.	ambiguous	No	No
2237	Can it have a heavy bass?	If I have no neighbors.	conditional	No	No
2238	Can it have a heavy bass?	It struggles to handle a ringtone.	sarcastic	No	No
2239	Can it have a heavy bass?	If you’re expecting club-level bass, you’ll be disappointed.	contrastive	Yes	No
2240	Can it have a heavy bass?	Depends on the song.	ambiguous	Yes	No
2241	Do you like Chinese food?	If I only have it.	conditional	No	No
2242	Do you like Chinese food?	I do not want to die.	sarcastic	No	No
2243	Do you like Chinese food?	I prefer Thai food.	contrastive	No	No
2244	Do you like Chinese food?	Sometimes.	ambiguous	Yes	No
2245	Have you ever been to New York?	If I had time to.	conditional	Yes	No
2246	Have you ever been to New York?	Totally—me and Times Square are tight.	sarcastic	No	No
2247	Have you ever been to New York?	I have been to London.	contrastive	Yes	No
2248	Have you ever been to New York?	Just passed through.	ambiguous	No	No
2249	Is it in the same industry?	If you think so.	conditional	Yes	No
2250	Is it in the same industry?	Just like one in America and one in Europa.	sarcastic	Yes	No
2251	Is it in the same industry?	It’s related, but not quite the same.	contrastive	No	No
2252	Is it in the same industry?	Hard to say.	ambiguous	No	No
2253	Did you know there's no sales tax in Oregon?	If that’s true, I need to shop there more.	conditional	No	No
2254	Did you know there's no sales tax in Oregon?	Oregon is now land of magical savings.	sarcastic	Yes	No
2255	Did you know there's no sales tax in Oregon?	I’d heard something about that.	contrastive	Yes	No
2256	Did you know there's no sales tax in Oregon?	Kind of.	ambiguous	Yes	No
2257	Would you like to keep doing the same thing?	I like things If it keeps me growing. 	conditional	Yes	No
2258	Would you like to keep doing the same thing?	Repetition is my passion.	sarcastic	Yes	No
2259	Would you like to keep doing the same thing?	Maybe something different this time would be more enjoyable to me.	contrastive	Yes	No
2260	Would you like to keep doing the same thing?	Not forever, I guess.	ambiguous	No	No
2261	Are you enjoying your work?	If we can skip Monday.	conditional	No	No
2262	Are you enjoying your work?	Every email fills me with joy.	sarcastic	Yes	No
2263	Are you enjoying your work?	Some parts are better than others.	contrastive	Yes	No
2264	Are you enjoying your work?	I really need a vacation.	ambiguous	Yes	No
2265	Do you have a mortgage right now?	If rent payments count, almost.	conditional	Yes	No
2266	Do you have a mortgage right now?	I love lifelong financial commitments.	sarcastic	Yes	No
2267	Do you have a mortgage right now?	I prefer renting.	contrastive	No	No
2268	Do you have a mortgage right now?	I can't remember.	ambiguous	No	No
2269	Do you like bossanova?	I would like it if it’s mellow and smooth.	conditional	Yes	No
2270	Do you like bossanova?	Nothing says party like bossanova.	sarcastic	No	No
2271	Do you like bossanova?	It’s nice, though I don’t listen to it much.	contrastive	No	No
2272	Do you like bossanova?	I can't say I'm a fan.	ambiguous	No	No
2273	Have you seen the new Frozen movie?	If I had  time to.	conditional	Yes	No
2274	Have you seen the new Frozen movie?	I am busier than Elsa.	sarcastic	No	No
2275	Have you seen the new Frozen movie?	I prefer other movies.	contrastive	No	No
2276	Have you seen the new Frozen movie?	I’ve heard about it.	ambiguous	Yes	No
2277	Did you transfer for work?	If I could find one.	conditional	Yes	No
2278	Did you transfer for work?	I even do not need work at all.	sarcastic	No	No
2279	Did you transfer for work?	Kind of—it was part of the reason.	contrastive	Yes	No
2280	Did you transfer for work?	I came to find work.	ambiguous	No	No
2281	Are you in the mood for a specific type of cuisine?	If I am hungry.	conditional	Yes	No
2282	Are you in the mood for a specific type of cuisine?	My taste buds are picky little gourmets.	sarcastic	No	No
2283	Are you in the mood for a specific type of cuisine?	I want to drink some.	contrastive	Yes	No
2284	Are you in the mood for a specific type of cuisine?	I can't decide what I'm in the mood for.	ambiguous	Yes	No
2285	Are you liking it around here so far?	If here is no noise.	conditional	No	No
2286	Are you liking it around here so far?	Best place to have all day loud music.	sarcastic	Yes	No
2287	Are you liking it around here so far?	It would be better if it was quiet.	contrastive	No	No
2288	Are you liking it around here so far?	I do not know.	ambiguous	No	No
2289	Are you a fan of pop music?	If I hadn't learned classical music.	conditional	No	No
2290	Are you a fan of pop music?	I am a fan of myself.	sarcastic	Yes	No
2291	Are you a fan of pop music?	I prefer rock.	contrastive	No	No
2292	Are you a fan of pop music?	Depends on the artist.	ambiguous	Yes	No
2293	Are you going to get a roommate?	If I had a new brain.	conditional	Yes	No
2294	Are you going to get a roommate?	I like sleeping on the street.	sarcastic	No	No
2295	Are you going to get a roommate?	I prefer living alone.	contrastive	No	No
2296	Are you going to get a roommate?	I want to stay single.	ambiguous	No	No
2297	Did you move here because of work?	If I had a job.	conditional	Yes	No
2298	Did you move here because of work?	life is my job.	sarcastic	Yes	No
2299	Did you move here because of work?	It was more important to be closer to my parents.	contrastive	No	No
2300	Did you move here because of work?	I am going to change my life.	ambiguous	No	No
2301	Are you into spicy foods?	If I tried I could tell.	conditional	Yes	No
2302	Are you into spicy foods?	Totally—I love crying over dinner.	sarcastic	Yes	No
